mention_name,mention_type,mention_popularity,mention_address,mention_found_in_blogFiles
prefumo canyon road,residential,33,"Prefumo Canyon Road, San Luis Obispo County, California, 93405, United States of America",san jose_and_san luis obispo.json
napa valley vine trail,cycleway,148,"Napa Valley Vine Trail, Yountville, Napa County, California, 94599, United States of America","los angeles_and_napa.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,napa_and_sacramento.json,napa_and_san francisco.json"
california state parks,theatre,483,"California State Parks, Adobe Canyon Road, Kenwood, Sonoma County, California, 95452, United States of America","fremont_and_mammoth lakes.json,fresno_and_san bernardino.json,long beach_and_oakland.json,long beach_and_san francisco.json,malibu_and_sacramento.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_riverside.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san bernardino.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_temecula.json,oakland_and_san bernardino.json,san francisco_and_stockton.json,san francisco_and_temecula.json,san luis obispo_and_sausalito.json"
alameda county library,library,62,"Castro Valley Library, 3600, Norbridge Avenue, Alameda County, California, 94546, United States of America","fremont_and_san bernardino.json,fremont_and_san francisco.json"
halter ranch,winery,390,"Halter Ranch Vineyard, 8910, Adelaida Road, Paso Robles, San Luis Obispo County, California, United States of America","berkeley_and_malibu.json,berkeley_and_riverside.json,berkeley_and_san diego.json,berkeley_and_santa barbara.json,berkeley_and_carlsbad.json,carlsbad_and_oakland.json,carlsbad_and_santa barbara.json,malibu_and_oakland.json,malibu_and_san francisco.json,monterey_and_oakland.json,napa_and_santa barbara.json,oakland_and_riverside.json,oakland_and_san diego.json,oakland_and_santa barbara.json"
santa monica state beach,nature_reserve,435,"Santa Monica State Beach, Santa Monica Beach Path, Santa Monica, Los Angeles County, California, 90401, United States of America","anaheim_and_mammoth lakes.json,bakersfield_and_mammoth lakes.json,bakersfield_and_temecula.json,carlsbad_and_fresno.json,fresno_and_santa monica.json,huntington beach_and_los angeles.json,long beach_and_malibu.json,malibu_and_newport beach.json,malibu_and_pismo beach.json,malibu_and_mammoth lakes.json,mammoth lakes_and_san diego.json,mammoth lakes_and_santa monica.json,mammoth lakes_and_temecula.json,riverside_and_santa monica.json"
hermosa beach,city,4879,"Hermosa Beach, Los Angeles County, California, United States of America","anaheim_and_avalon.json,anaheim_and_berkeley.json,anaheim_and_beverly hills.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_malibu.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_sacramento.json,anaheim_and_stockton.json,avalon_and_beverly hills.json,avalon_and_big bear lake.json,avalon_and_fresno.json,avalon_and_huntington beach.json,avalon_and_oakland.json,avalon_and_riverside.json,avalon_and_san bernardino.json,anaheim_and_santa monica.json,avalon_and_malibu.json,beverly hills_and_sausalito.json,avalon_and_santa barbara.json,avalon_and_santa monica.json,bakersfield_and_beverly hills.json,bakersfield_and_newport beach.json,bakersfield_and_santa monica.json,bakersfield_and_sausalito.json,beverly hills_and_big bear lake.json,berkeley_and_huntington beach.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_mammoth lakes.json,beverly hills_and_monterey.json,beverly hills_and_oakland.json,beverly hills_and_pasadena.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_san francisco.json,beverly hills_and_san jose.json,beverly hills_and_santa ana.json,beverly hills_and_santa clarita.json,beverly hills_and_santa cruz.json,beverly hills_and_temecula.json,big bear lake_and_oakland.json,big bear lake_and_san jose.json,big bear lake_and_santa ana.json,big bear lake_and_santa clarita.json,big bear lake_and_santa cruz.json,big bear lake_and_santa monica.json,carlsbad_and_huntington beach.json,carlsbad_and_irvine.json,carlsbad_and_long beach.json,carlsbad_and_newport beach.json,carlsbad_and_pismo beach.json,carlsbad_and_san jose.json,carlsbad_and_santa monica.json,fremont_and_huntington beach.json,fremont_and_newport beach.json,fremont_and_santa clarita.json,fresno_and_huntington beach.json,fresno_and_long beach.json,fresno_and_pasadena.json,fresno_and_san diego.json,fresno_and_santa ana.json,fresno_and_santa barbara.json,fresno_and_santa monica.json,huntington beach_and_los angeles.json,huntington beach_and_mammoth lakes.json,huntington beach_and_monterey.json,huntington beach_and_oakland.json,huntington beach_and_pismo beach.json,huntington beach_and_sacramento.json,huntington beach_and_san diego.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa barbara.json,huntington beach_and_santa clarita.json,huntington beach_and_santa cruz.json,huntington beach_and_santa monica.json,huntington beach_and_sausalito.json,irvine_and_long beach.json,irvine_and_los angeles.json,irvine_and_sacramento.json,irvine_and_santa monica.json,carlsbad_and_los angeles.json,huntington beach_and_malibu.json,irvine_and_temecula.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,long beach_and_san diego.json,long beach_and_santa ana.json,long beach_and_santa clarita.json,long beach_and_santa monica.json,los angeles_and_napa.json,long beach_and_los angeles.json,long beach_and_malibu.json,long beach_and_mammoth lakes.json,los angeles_and_san diego.json,los angeles_and_san francisco.json,los angeles_and_temecula.json,malibu_and_napa.json,malibu_and_newport beach.json,malibu_and_pismo beach.json,malibu_and_san francisco.json,malibu_and_santa ana.json,malibu_and_mammoth lakes.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa monica.json,monterey_and_pasadena.json,napa_and_san diego.json,napa_and_santa monica.json,los angeles_and_newport beach.json,monterey_and_newport beach.json,napa_and_temecula.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_sacramento.json,newport beach_and_san diego.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_santa barbara.json,newport beach_and_santa monica.json,newport beach_and_temecula.json,oakland_and_riverside.json,oakland_and_san bernardino.json,oakland_and_san diego.json,oakland_and_santa ana.json,oakland_and_santa barbara.json,oakland_and_santa clarita.json,pasadena_and_riverside.json,pasadena_and_san diego.json,pasadena_and_san jose.json,pasadena_and_santa clarita.json,pismo beach_and_santa monica.json,riverside_and_santa monica.json,sacramento_and_santa ana.json,sacramento_and_santa monica.json,sacramento_and_temecula.json,san bernardino_and_santa barbara.json,san bernardino_and_santa monica.json,san bernardino_and_sausalito.json,san diego_and_san jose.json,san diego_and_santa clarita.json,san diego_and_santa monica.json,san francisco_and_santa monica.json,san francisco_and_temecula.json,sacramento_and_san diego.json,newport beach_and_pismo beach.json,newport beach_and_sausalito.json,oakland_and_temecula.json,san jose_and_temecula.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa clarita.json,santa barbara_and_stockton.json,santa monica_and_temecula.json"
newport pier,footway,448,"Newport Pier, Balboa Island, Newport Beach, Orange County, California, 92663, United States of America","avalon_and_fresno.json,avalon_and_huntington beach.json,avalon_and_malibu.json,fresno_and_huntington beach.json,huntington beach_and_irvine.json,huntington beach_and_long beach.json,huntington beach_and_newport beach.json,long beach_and_newport beach.json,long beach_and_santa monica.json,long beach_and_malibu.json,malibu_and_newport beach.json,los angeles_and_newport beach.json,newport beach_and_san diego.json,newport beach_and_pismo beach.json"
verdugo mountains,park,164,"Verdugo Mountains, Foothill Freeway, LA, Los Angeles County, California, 91042, United States of America","big bear lake_and_santa clarita.json,huntington beach_and_pasadena.json,pasadena_and_santa ana.json,pasadena_and_santa clarita.json,pasadena_and_san bernardino.json"
geary blvd,primary,84,"Geary Boulevard, Jordan Park, SF, California, 94118, United States of America","monterey_and_pasadena.json,malibu_and_monterey.json,san francisco_and_santa ana.json"
great highway,primary,244,"Great Highway, SF, California, 94132, United States of America","avalon_and_sausalito.json,berkeley_and_santa cruz.json,monterey_and_pasadena.json,napa_and_san diego.json,napa_and_san francisco.json,malibu_and_monterey.json,oakland_and_san francisco.json,oakland_and_sausalito.json,san jose_and_sausalito.json"
placer county,administrative,108,"Placer County, California, United States of America","mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
road trip california,restaurant,28,"American Road Trip, Yucaipa Boulevard, Yucaipa (City of), San Bernardino County, California, 92399, United States of America",long beach_and_monterey.json
white lake township,water,54,"White Lake, State Line Road, Siskiyou County, California, United States of America","avalon_and_oakland.json,beverly hills_and_oakland.json"
montana,residential,1984,"Montana, Rovana, Inyo County, California, United States of America","anaheim_and_san francisco.json,avalon_and_fremont.json,avalon_and_san luis obispo.json,bakersfield_and_malibu.json,berkeley_and_malibu.json,berkeley_and_pismo beach.json,berkeley_and_riverside.json,berkeley_and_san luis obispo.json,berkeley_and_santa monica.json,big bear lake_and_oakland.json,big bear lake_and_san luis obispo.json,carlsbad_and_mammoth lakes.json,carlsbad_and_monterey.json,carlsbad_and_oakland.json,fremont_and_mammoth lakes.json,fremont_and_santa barbara.json,fresno_and_malibu.json,fresno_and_mammoth lakes.json,fresno_and_pasadena.json,fresno_and_san luis obispo.json,irvine_and_mammoth lakes.json,irvine_and_san luis obispo.json,carlsbad_and_san luis obispo.json,fresno_and_riverside.json,los angeles_and_mammoth lakes.json,long beach_and_mammoth lakes.json,malibu_and_oakland.json,malibu_and_sacramento.json,malibu_and_sausalito.json,malibu_and_stockton.json,mammoth lakes_and_oakland.json,mammoth lakes_and_pasadena.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san bernardino.json,mammoth lakes_and_san francisco.json,mammoth lakes_and_san jose.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa cruz.json,mammoth lakes_and_stockton.json,mammoth lakes_and_pismo beach.json,mammoth lakes_and_sausalito.json,newport beach_and_san luis obispo.json,oakland_and_san diego.json,oakland_and_san luis obispo.json,oakland_and_santa barbara.json,pismo beach_and_san diego.json,pismo beach_and_stockton.json,riverside_and_san luis obispo.json,riverside_and_stockton.json,sacramento_and_san luis obispo.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san bernardino_and_san luis obispo.json,san francisco_and_temecula.json,oakland_and_pismo beach.json,san jose_and_temecula.json,san luis obispo_and_santa ana.json,san luis obispo_and_stockton.json,san luis obispo_and_temecula.json"
corona,peak,140,"La Corona, Santa Cruz, Santa Cruz County, California, United States of America","fremont_and_temecula.json,sacramento_and_temecula.json,newport beach_and_sausalito.json,oakland_and_temecula.json,stockton_and_temecula.json"
la.,administrative,53,"California, United States of America","avalon_and_oakland.json,fremont_and_santa monica.json"
tulsa,tertiary,69,"Tulsa Street, Sepulveda, LA, Los Angeles County, California, 91344, United States of America","beverly hills_and_big bear lake.json,santa barbara_and_sausalito.json"
marina blvd,secondary,144,"Marina Boulevard, Marina District, SF, California, 94123, United States of America","berkeley_and_san jose.json,beverly hills_and_sausalito.json,berkeley_and_los angeles.json,berkeley_and_sacramento.json,berkeley_and_fremont.json"
forest gump,forest,121,"Catalina, Anaheim Resort District, Anaheim, Orange County, California, 217, United States of America","irvine_and_santa monica.json,long beach_and_santa monica.json,malibu_and_santa monica.json,san jose_and_santa monica.json"
carlsbad caverns,residential,138,"Carlsbad Caverns Court, Newman, Stanislaus County, California, 95360, United States of America","berkeley_and_fresno.json,carlsbad_and_mammoth lakes.json,carlsbad_and_san jose.json,carlsbad_and_stockton.json,san jose_and_santa ana.json"
pines road,hamlet,80,"Four Pines, California, United States of America","berkeley_and_carlsbad.json,carlsbad_and_san jose.json,san jose_and_temecula.json"
calaveras big trees state park,protected_area,237,"Calaveras Big Trees State Park, Big Trees Parkway, Snowshoe Springs, Calaveras County, California, 95223, United States of America","avalon_and_sacramento.json,bakersfield_and_sacramento.json,bakersfield_and_sausalito.json,berkeley_and_riverside.json,irvine_and_sacramento.json,monterey_and_sacramento.json,sacramento_and_sausalito.json,sacramento_and_san francisco.json"
stockton & san jose,secondary,482,"Stockton Avenue, College Park, Rose Garden, San José, Santa Clara County, California, 95126, United States of America","bakersfield_and_san francisco.json,beverly hills_and_fresno.json,beverly hills_and_sacramento.json,beverly hills_and_san jose.json,fresno_and_long beach.json,fresno_and_san bernardino.json,fresno_and_santa ana.json,long beach_and_oakland.json,long beach_and_sacramento.json,long beach_and_stockton.json,newport beach_and_oakland.json,newport beach_and_san jose.json,oakland_and_santa ana.json,sacramento_and_santa ana.json,san francisco_and_stockton.json,santa ana_and_stockton.json"
santa monica pier north,service,31,"Santa Monica Pier, Santa Monica, Los Angeles County, California, CA 90401, United States of America",santa monica_and_sausalito.json
ballona,drain,25,"Ballona Creek, LA, Los Angeles County, California, United States of America",irvine_and_sausalito.json
altamont pass,saddle,97,"Altamont Pass, Altamont Pass Road, Altamont, Alameda County, California, United States of America","riverside_and_stockton.json,san francisco_and_santa cruz.json,san luis obispo_and_santa cruz.json"
larkspur,city,270,"Larkspur, Marin County, California, United States of America","berkeley_and_sacramento.json,long beach_and_sausalito.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,oakland_and_sausalito.json,sacramento_and_sausalito.json,newport beach_and_sausalito.json,napa_and_sausalito.json,sausalito_and_stockton.json"
crane flat,camp_site,96,"Crane Flat, Lane 300, Buena Vista, Mariposa County, California, United States of America","bakersfield_and_mammoth lakes.json,berkeley_and_mammoth lakes.json,fresno_and_mammoth lakes.json"
columbus street,residential,28,"Columbus Street, North Beach, SF, California, 94133, United States of America",san diego_and_sausalito.json
brywood park,park,106,"Brywood Park, Bryan Avenue, Northwood, Irvine, Orange County, California, 92780, United States of America","anaheim_and_irvine.json,big bear lake_and_irvine.json,irvine_and_santa ana.json,irvine_and_santa cruz.json"
n. hill street,secondary,24,"North Hill Street, Civic Center, Bunker Hill, LA, Los Angeles County, California, 90012, United States of America",avalon_and_pasadena.json
punchbowl,park,32,"Devils Punchbowl County Park, High Desert National Recreation Trail, Old Point Comfort, Los Angeles County, California, United States of America",newport beach_and_sausalito.json
nova scotia,tertiary,53,"Nova Scotia Avenue, San José, Santa Clara County, California, 95124, United States of America","san jose_and_temecula.json,stockton_and_temecula.json"
great america,tram_stop,808,"Great America, West Tasman Drive, Santa Clara, Santa Clara County, California, 95002, United States of America","berkeley_and_fremont.json,fremont_and_oakland.json,fremont_and_sacramento.json,fremont_and_san bernardino.json,fremont_and_san francisco.json,fremont_and_san jose.json,fremont_and_santa clarita.json,fremont_and_santa cruz.json,fremont_and_sausalito.json,fremont_and_stockton.json,fresno_and_san jose.json,fresno_and_santa clarita.json,long beach_and_oakland.json,los angeles_and_sausalito.json,monterey_and_santa clarita.json,oakland_and_san jose.json,sacramento_and_san jose.json,sacramento_and_santa clarita.json,san francisco_and_santa clarita.json,san francisco_and_stockton.json,san jose_and_santa clarita.json,sacramento_and_san francisco.json,san bernardino_and_stockton.json,santa clarita_and_sausalito.json,san jose_and_stockton.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json"
niles canyon railway,disused,51,"Niles Canyon Railway, Mission Boulevard, Niles Junction, Niles District, Fremont, Alameda County, California, 94539, United States of America","fremont_and_monterey.json,fremont_and_san jose.json"
vermont avenue,secondary,701,"Vermont Avenue, Wildasin, Florence, LA, Los Angeles County, California, 90044, United States of America","bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_malibu.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,fresno_and_long beach.json,fresno_and_santa ana.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,long beach_and_santa ana.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,sacramento_and_santa ana.json,santa monica_and_temecula.json"
manresa state beach,park,59,"Manresa State Beach, Heather Point Lane, La Selva Beach, Santa Cruz County, California, United States of America","malibu_and_santa cruz.json,santa cruz_and_santa monica.json"
the bird cage theater,theatre,28,"Bird Cage Theatre, 8039, Beach Boulevard, Buena Park, Orange County, California, 90620, United States of America",fremont_and_los angeles.json
santa barbara - courtyard,hotel,38,"Courtyard Santa Barbara Goleta, Phelps Road, Ellwood, Goleta, Santa Barbara County, California, 93117, United States of America",beverly hills_and_san luis obispo.json
concord road,residential,108,"Concord Road, Sacramento, Sacramento County, California, 95820, United States of America","mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
calfornia,residential,27,"Calfornia Drive, Two Rock, Sonoma County, California, United States of America",mammoth lakes_and_napa.json
myanmar,yes,27,"Myanmar Overseas Youth Club, Pacific Avenue, Chinatown, SF, California, 94118, United States of America",long beach_and_oakland.json
loveland,dam,27,"Lake Loveland 2020-002 Dam, San Diego County, California, United States of America",fremont_and_long beach.json
corcoran,city,470,"Corcoran, Kings County, California, United States of America","irvine_and_san jose.json,irvine_and_santa cruz.json,los angeles_and_stockton.json,los angeles_and_santa cruz.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_santa barbara.json,riverside_and_santa cruz.json,riverside_and_stockton.json,sacramento_and_santa clarita.json,san diego_and_santa clarita.json,san francisco_and_santa ana.json,san francisco_and_santa clarita.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json"
park ave.,residential,64,"Park Avenue, Victorville, San Bernardino County, California, 92392, United States of America","beverly hills_and_riverside.json,big bear lake_and_pasadena.json"
el nino,village,266,"El Niño, Tijuana, Baja California, México","anaheim_and_san luis obispo.json,berkeley_and_carlsbad.json,big bear lake_and_mammoth lakes.json,long beach_and_san luis obispo.json,malibu_and_san luis obispo.json,mammoth lakes_and_san diego.json,pasadena_and_san luis obispo.json,riverside_and_san luis obispo.json"
santa cruz-watsonville,tertiary,29,"California Street, Watsonville, Santa Cruz County, California, 95076, United States of America",riverside_and_santa cruz.json
solano ave,tertiary,29,"Solano Avenue, Dayton Avenue, Angelino Heights, LA, Los Angeles County, California, 90012, United States of America",berkeley_and_los angeles.json
lakeview,hamlet,233,"Lakeview, Kern County, California, United States of America","bakersfield_and_mammoth lakes.json,big bear lake_and_oakland.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san bernardino.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_temecula.json"
"canyon lake , canyon hills",place_of_worship,31,"Newport Beach California Temple, Bonita Canyon Drive, Newport Center, Newport Beach, Orange County, California, 92612, United States of America",santa barbara_and_temecula.json
rose bowl dr pasadena,residential,31,"Rose Bowl Drive, Pasadena, Los Angeles County, California, 91103, United States of America",newport beach_and_pasadena.json
bon air road,secondary,69,"Bon Air Road, Skylark, Marin County, California, 94904, United States of America","mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
michelson drive,secondary,24,"Michelson Drive, Woodbridge, Irvine, Orange County, California, 92612, United States of America",irvine_and_stockton.json
newport blvd.newport beach,primary,29,"Newport Boulevard, Balboa Island, Newport Beach, Orange County, California, 92663, United States of America",avalon_and_newport beach.json
northwest pasadena,city,27,"Pasadena, Los Angeles County, California, United States of America",pasadena_and_sausalito.json
carmel plaza,residential,77,"El Carmel Place, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America","avalon_and_monterey.json,irvine_and_monterey.json,monterey_and_riverside.json"
arlington,hamlet,411,"Arlington, Riverside County, California, United States of America","avalon_and_riverside.json,beverly hills_and_fremont.json,beverly hills_and_malibu.json,carlsbad_and_santa barbara.json,fremont_and_irvine.json,fremont_and_santa barbara.json,huntington beach_and_santa barbara.json,malibu_and_santa barbara.json,long beach_and_santa barbara.json,newport beach_and_santa barbara.json,pasadena_and_sacramento.json,sacramento_and_santa barbara.json,santa barbara_and_santa cruz.json"
hercules,administrative,404,"Hercules, Contra Costa County, California, United States of America","irvine_and_san jose.json,irvine_and_santa cruz.json,los angeles_and_stockton.json,los angeles_and_santa cruz.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_santa cruz.json,riverside_and_stockton.json,sacramento_and_santa clarita.json,san francisco_and_santa ana.json,san francisco_and_santa clarita.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json"
windward avenue,residential,36,"Windward Avenue, Venice, LA, Los Angeles County, California, 90291, United States of America",san bernardino_and_santa monica.json
sierra star golf course,golf_course,31,"Sierra Star Golf Course, Tallus Connector, Mammoth Lakes, Mono County, California, 93546, United States of America",mammoth lakes_and_monterey.json
rancho santa ana botanic gardens,park,181,"Rancho Santa Ana Botanic Garden, College Avenue, Claremont, Los Angeles County, California, 91711, United States of America","beverly hills_and_santa ana.json,los angeles_and_santa ana.json,malibu_and_santa ana.json,pasadena_and_santa ana.json,pasadena_and_santa clarita.json,santa ana_and_santa monica.json"
indiana,station,328,"Indiana, South Indiana Street, Boyle Heights, LA, Los Angeles County, California, 90023, United States of America","anaheim_and_riverside.json,avalon_and_mammoth lakes.json,avalon_and_monterey.json,avalon_and_riverside.json,avalon_and_san bernardino.json,beverly hills_and_big bear lake.json,beverly hills_and_fresno.json,big bear lake_and_long beach.json,big bear lake_and_oakland.json,los angeles_and_pasadena.json,monterey_and_riverside.json"
arata,residential,51,"Arata Court, Willow Glen, San José, Santa Clara County, California, 95125, United States of America","napa_and_riverside.json,napa_and_santa clarita.json"
fremont route,city,61,"Fremont, Alameda County, California, United States of America","beverly hills_and_fremont.json,fremont_and_santa clarita.json"
quad city,grass,36,"Sierra Quad, Northridge, LA, Los Angeles County, California, 91330, United States of America",beverly hills_and_big bear lake.json
inverness,census,123,"Inverness, Redwood Avenue, Bivalve, Marin County, California, 94956, United States of America","huntington beach_and_sausalito.json,long beach_and_sausalito.json,sacramento_and_sausalito.json,san jose_and_sausalito.json"
windansea,residential,225,"Windansea Street, Oceanside, San Diego County, California, 92056, United States of America","avalon_and_big bear lake.json,avalon_and_malibu.json,big bear lake_and_long beach.json,irvine_and_san diego.json,long beach_and_san diego.json,long beach_and_temecula.json,malibu_and_san diego.json,san diego_and_san jose.json"
uc botanical garden,parking,137,"UC - Botanical Garden lot, Centennial Drive, Oakland, Alameda County, California, 94720, United States of America","berkeley_and_san jose.json,berkeley_and_los angeles.json,berkeley_and_oakland.json,berkeley_and_sacramento.json,berkeley_and_fremont.json"
dundalk,residential,28,"Dundalk Lane, Huntington Beach, Orange County, California, 92647, United States of America",pasadena_and_sacramento.json
mono mills,hamlet,349,"Mono Mills, Mono County, California, United States of America","anaheim_and_mammoth lakes.json,avalon_and_mammoth lakes.json,big bear lake_and_mammoth lakes.json,carlsbad_and_mammoth lakes.json,fremont_and_mammoth lakes.json,irvine_and_mammoth lakes.json,mammoth lakes_and_oakland.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_stockton.json,mammoth lakes_and_sausalito.json"
downtown menlo park,neighbourhood,28,"Downtown North, Palo Alto, Santa Clara County, California, 94301, United States of America",san diego_and_sausalito.json
miami,stream,478,"Miami Creek, Madera County, California, United States of America","avalon_and_fresno.json,bakersfield_and_sacramento.json,berkeley_and_carlsbad.json,beverly hills_and_oakland.json,beverly hills_and_san francisco.json,fremont_and_santa ana.json,fremont_and_santa barbara.json,huntington beach_and_san jose.json,long beach_and_oakland.json,malibu_and_oakland.json,oakland_and_santa ana.json,riverside_and_santa cruz.json,sacramento_and_santa ana.json,san bernardino_and_san jose.json,san luis obispo_and_temecula.json,santa ana_and_santa cruz.json"
truckee river legacy trail,path,108,"Truckee River Legacy Trail, Truckee, Nevada County, California, United States of America","mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
pismo/santa barbara,residential,64,"Pismo Beach Circle, Ellwood, Goleta, Santa Barbara County, California, 93117, United States of America","pasadena_and_pismo beach.json,pismo beach_and_santa barbara.json"
