"mention_name@blogNonCitySrc","mention_type@blogNonCitySrc","mention_popularity@blogNonCitySrc","mention_address@blogNonCitySrc","zip_code@blogNonCitySrc","mention_longitude@blogNonCitySrc","mention_latitude@blogNonCitySrc","no_of_blogFiles@blogNonCitySrc","mention_found_in_blogFiles@blogNonCitySrc","attraction_name@tripAdvMentionsSrc","attraction_knownFor@tripAdvMentionsSrc","attraction_reviewComment@tripAdvMentionsSrc","attraction_ranking@tripAdvMentionsSrc","attraction_no_of_reviews@tripAdvMentionsSrc","attraction_contact@tripAdvMentionsSrc","attraction_in@tripAdvMentionsSrc","attraction_address@tripAdvMentionsSrc","zip_code@tripAdvMentionsSrc","attraction_longitude@tripAdvMentionsSrc","attraction_latitude@tripAdvMentionsSrc","attraction_url@tripAdvMentionsSrc","attraction_in_file@tripAdvMentionsSrc","youTubeLinkIds@tripAdvMentionsSrc","Confidence"
"national steinbeck center","attraction","1","""National Steinbeck Center, Central Avenue, Salinas, Monterey County, California, 93901, United States of America""","93901","-121.6555204","36.6771407","9","""anaheim_and_monterey.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa cruz.json,monterey_and_san jose.json,san jose_and_san luis obispo.json,san jose_and_santa barbara.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json""","National Steinbeck Center","""Art Museums , History Museums , Specialty Museums , Museums , More""","""My husband and I were driving from San Jose to Los Angeles, but as we were passing by Salinas, we saw a sign for a Steinbeck museum. We'd both read Steinbeck in school, and I love... read more""","1","268","831-775-4721","Salinas","""1 Main St , Salinas , CA 93901-3436""","93901","","","https://www.tripadvisor.com/Attraction_Review-g33002-d102780-Reviews-National_Steinbeck_Center-Salinas_California.html","salinas.json","""Go_EGlIrMQw,e7J-64HbHow""","100"
"san diego zoo safari park","zoo","10","""San Diego Zoo Safari Park, 15500, San Pasqual Valley Road, San Diego, San Diego County, California, 92025, United States of America""","15500","-116.995039439834","33.096694","44","""anaheim_and_carlsbad.json,anaheim_and_san diego.json,anaheim_and_san francisco.json,anaheim_and_temecula.json,avalon_and_carlsbad.json,avalon_and_san bernardino.json,avalon_and_san diego.json,beverly hills_and_carlsbad.json,beverly hills_and_pismo beach.json,avalon_and_temecula.json,bakersfield_and_temecula.json,berkeley_and_san diego.json,berkeley_and_carlsbad.json,beverly hills_and_temecula.json,carlsbad_and_long beach.json,carlsbad_and_newport beach.json,carlsbad_and_riverside.json,carlsbad_and_san bernardino.json,carlsbad_and_san diego.json,carlsbad_and_san jose.json,carlsbad_and_santa barbara.json,carlsbad_and_santa monica.json,carlsbad_and_temecula.json,carlsbad_and_los angeles.json,carlsbad_and_san luis obispo.json,irvine_and_temecula.json,long beach_and_san diego.json,los angeles_and_san diego.json,monterey_and_san diego.json,newport beach_and_san diego.json,newport beach_and_santa barbara.json,newport beach_and_temecula.json,pismo beach_and_san bernardino.json,pismo beach_and_santa clarita.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_temecula.json,san diego_and_san jose.json,san francisco_and_temecula.json,san jose_and_temecula.json,san luis obispo_and_santa clarita.json""","San Diego Zoo Safari Park","""Nature & Wildlife Areas , Zoos & Aquariums , Outdoor Activities , Nature & Parks""","""Lots to do and see. We were here for an event and didn't have time to do a safari but did see lots of animals like gorillas, cheetahs, and lots of birds. All the staff was great... read more""","1","""2,803""","17607478702","Escondido","""15500 San Pasqual Valley Rd , Escondido , CA 92027-7017""","15500","","","https://www.tripadvisor.com/Attraction_Review-g32358-d104196-Reviews-San_Diego_Zoo_Safari_Park-Escondido_California.html","escondido.json","""blVqDePLcCI,BOQmk7RWo9g,GWBEjzdOLjI""","100"
"prado regional park","park","4","""El Prado Regional Park, Euclid Avenue, Chino, San Bernardino County, California, 92878, United States of America""","92878","-117.6594976","33.9419585","5","""avalon_and_san bernardino.json,long beach_and_san bernardino.json,los angeles_and_san bernardino.json,mammoth lakes_and_san bernardino.json,san bernardino_and_santa ana.json""","Prado Regional Park","","""This park is a local gem. It has so much to offer. You can camp, fish, rent paddle boats, there is a playground, horseback riding, shooting range, trails and much more! You... read more""","3","40","+1 909-597-4260","Chino","""16700 Euclid Ave , Chino , CA 91708-9298""","16700","","","https://www.tripadvisor.com/Attraction_Review-g32205-d2540152-Reviews-Prado_Regional_Park-Chino_California.html","chino.json","""CUr-NnCfu7w,5z3lR9TlSaA,Tq8NJJLVc70""","100"
"runyon canyon park","park","2","""Runyon Canyon Park, Runyon Canyon Road, Whitley Heights, LA, Los Angeles County, California, 90046, United States of America""","90046","-118.350746324564","34.1123359","5","""avalon_and_beverly hills.json,avalon_and_santa monica.json,beverly hills_and_pasadena.json,long beach_and_pasadena.json,santa ana_and_santa monica.json""","Runyon Canyon Park","""Canyons , Nature & Parks ""","I usually do the East Trail when I'm in LA. It's pretty steep & the steps part can be challenging but the views over the city make it worth it. They've fairly recently put in a... read more","20","773","","Los Angeles","""2000 N Fuller Ave , Hollywood , Los Angeles , CA 90046-2308""","90046","","","https://www.tripadvisor.com/Attraction_Review-g32655-d129374-Reviews-Runyon_Canyon_Park-Los_Angeles_California.html","los_angeles.json","""QWKCSost8ps,k2L-A8jK4Pc,2kVGNuCpZRk""","100"
"del mar racetrack","track","3","""Del Mar Racetrack, Via de la Valle, Solana Beach, San Diego County, California, 92091, United States of America""","92091","-117.262964181472","32.9764414","7","""anaheim_and_berkeley.json,anaheim_and_carlsbad.json,anaheim_and_fremont.json,anaheim_and_san diego.json,anaheim_and_temecula.json,carlsbad_and_newport beach.json,carlsbad_and_san diego.json""","Del Mar Race Track","""Horse Tracks , Casinos & Gambling , Fun & Games""","Just an enjoyable experience - good enough food - easy parking. Sat in the grandstand during the week so there were plenty of seats. My adult son's first time and he loved it.","1","374","+1 858-755-1141","Del Mar","""just west of I-5 at the Via de la Valle exit , Del Mar , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g32286-d209278-Reviews-Del_Mar_Race_Track-Del_Mar_California.html","del_mar.json","""XAxH1JG-9pY,dkFsj705ziE""","100"
"california theatre","cinema","5","""California Theatre, 562, West 4th Street, San Bernardino, San Bernardino County, California, 92401, United States of America""","92401","-117.295461125042","34.10680785","8","""avalon_and_san jose.json,big bear lake_and_santa ana.json,long beach_and_san jose.json,malibu_and_san jose.json,riverside_and_san bernardino.json,san bernardino_and_temecula.json,san jose_and_santa clarita.json,stockton_and_temecula.json""","California Theatre","""Theaters , Concerts & Shows""","""Great hall, even in the balcony the sound is still great. the entrance is very clear and the reception area is very comfortable.""","15","70","+1 408-792-4111","San Jose","""345 S 1st St , San Jose , CA 95113-2804""","95113","","","https://www.tripadvisor.com/Attraction_Review-g33020-d2578402-Reviews-California_Theatre-San_Jose_California.html","san_jose.json","""O3mvk98GYYM,X954xjS-kgM,EhJ1xAcPpww""","100"
"barrio","hamlet","2","""Barro, Napa County, California, United States of America""","","-122.4927582","38.5260194","2","""berkeley_and_riverside.json,fremont_and_santa ana.json""","Barrio","","We visited on the tail end of happy hour (4-6pm). House margarita was good for the happy hour special. The patio seating is quite pleasant. The traffic isn't very noisy. Umbrellas... read more","36","13","","Carlsbad","""Tyler St. and Pine Ave. , Carlsbad , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g32171-d282201-Reviews-Barrio-Carlsbad_California.html","carlsbad.json","""S78zHoJQxME,M9wiI6Td-lI,4Ffw32xQFEQ""","100"
"red hill trail","track","1","""Red Hill Trail, Fremont, Alameda County, California, 94555, United States of America""","94555","-122.0970333","37.5628563","1","fremont_and_sacramento.json","Red Hill Trail","","""A LOVELY hike, but nowhere near the town of Sonoma, it's a solid hour by car (not well-covered by public transportation). Beautiful view over the Pacific Ocean.""","87","2","","Sonoma","""Pacific View Drive , Sonoma Coast State Beach , Sonoma , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g33107-d8434892-Reviews-Red_Hill_Trail-Sonoma_Sonoma_County_California.html","sonoma.json","""BPomlE8ef3s,vbMwdMpjKXQ,sqypN5fuwik""","100"
"rancho los alamitos","school","2","""Rancho Alamitos High School, Dale Street, Koreatown, Garden Grove, Orange County, California, 92841, United States of America""","92841","-117.986659907091","33.79819705","16","""anaheim_and_irvine.json,anaheim_and_riverside.json,bakersfield_and_newport beach.json,fremont_and_newport beach.json,fresno_and_santa ana.json,huntington beach_and_irvine.json,huntington beach_and_oakland.json,huntington beach_and_santa ana.json,huntington beach_and_santa clarita.json,irvine_and_long beach.json,long beach_and_riverside.json,newport beach_and_oakland.json,newport beach_and_santa ana.json,oakland_and_riverside.json,oakland_and_santa ana.json,riverside_and_santa ana.json""","Rancho Los Alamitos","""Historic Sites , Sights & Landmarks""","Beautiful place. Very nice escorted tour. Very nicely restored. Well worth a visit for the family and school children. Recommend a visit.","15","64","+1 562-431-3541","Long Beach","""6400 E Bixby Hill Rd , Long Beach , CA 90815-4706""","90815","","","https://www.tripadvisor.com/Attraction_Review-g32648-d284243-Reviews-Rancho_Los_Alamitos-Long_Beach_California.html","long_beach.json","""CvriZ0EOi-w,3Q3XsbscQtE,HEK4K_WvZfk""","100"
"catalina island museum","museum","3","""Catalina Island Museum, 1, Casino Way, Avalon, Los Angeles County, California, 90704, United States of America""","90704","-118.3257254","33.3487561","15","""avalon_and_bakersfield.json,avalon_and_carlsbad.json,avalon_and_fremont.json,avalon_and_fresno.json,avalon_and_huntington beach.json,avalon_and_irvine.json,avalon_and_long beach.json,avalon_and_los angeles.json,avalon_and_pasadena.json,avalon_and_riverside.json,avalon_and_sacramento.json,avalon_and_malibu.json,avalon_and_santa clarita.json,avalon_and_sausalito.json,avalon_and_stockton.json""","Catalina Island Museum","","""This is an amazing museum, Avalon is to be commended for their efforts! The special exhibit, Art Nouveau from Germany, and the history of Avalon were fabulous.""","21","26","13105102414","Avalon","""217 Metropole Avenue , Avalon , Catalina Island, CA 90704""","90704","","","https://www.tripadvisor.com/Attraction_Review-g29121-d10455632-Reviews-Catalina_Island_Museum-Avalon_Catalina_Island_California.html","avalon.json","""9OewwbnqB3g,HeHdc55y1bw,8VWpOCmR7LI""","100"
"seaport village","retail","9","""Seaport Village, Hillcrest, San Diego, San Diego County, California, 92101, United States of America""","92101","-117.170488716601","32.7089976","27","""anaheim_and_carlsbad.json,anaheim_and_san diego.json,avalon_and_carlsbad.json,avalon_and_san diego.json,avalon_and_temecula.json,bakersfield_and_temecula.json,berkeley_and_san diego.json,berkeley_and_carlsbad.json,beverly hills_and_san diego.json,beverly hills_and_temecula.json,carlsbad_and_newport beach.json,carlsbad_and_riverside.json,carlsbad_and_san diego.json,carlsbad_and_san jose.json,carlsbad_and_santa cruz.json,huntington beach_and_monterey.json,huntington beach_and_san francisco.json,huntington beach_and_santa cruz.json,huntington beach_and_stockton.json,huntington beach_and_malibu.json,long beach_and_san diego.json,los angeles_and_san diego.json,malibu_and_newport beach.json,monterey_and_newport beach.json,newport beach_and_santa cruz.json,riverside_and_san diego.json,san jose_and_temecula.json""","Seaport Village","""Piers & Boardwalks , Shopping Malls , Points of Interest & Landmarks , Sights & Landmarks , Shopping , More ""","""This is a nice walk along the water with lots of shops, bars, and restaurants. We enjoyed the walk here.""","30","""2,673""","619-235-4014","San Diego","""849 West Harbor Drive , Downtown , San Diego , CA 92101""","92101","","","https://www.tripadvisor.com/Attraction_Review-g60750-d103192-Reviews-Seaport_Village-San_Diego_California.html","san_diego.json","""oFUFrZlpZU8,5T8bTi0a0Po,do1bsP-6dWA""","100"
"santa teresa county park","park","2","""Santa Teresa County Park, Hidden Springs Trail, Santa Clara County, California, 95139, United States of America""","95139","-121.784616129361","37.21406075","3","""mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json""","Santa Teresa County Park","","""If you have time, this is a good place to hang around from the normal routine or work. It's good to get fresh air and enjoy the walking in the nature to get more exercise.""","42","8","408-225-0225","San Jose","""260 Bernal Rd , San Jose , CA 95119-1899""","95119","","","https://www.tripadvisor.com/Attraction_Review-g33020-d9770868-Reviews-Santa_Teresa_County_Park-San_Jose_California.html","san_jose.json","""O_zFPOPtEBE,vNaWfakmdKw,yQZ_6Ncx3nY""","100"
"santa barbara botanic garden","park","4","""Santa Barbara Botanic Gardens, Mission Canyon Road, Mission Canyon, Santa Barbara County, California, 93105, United States of America""","93105","-119.709585108231","34.456953","132","""anaheim_and_pismo beach.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa cruz.json,avalon_and_monterey.json,avalon_and_san jose.json,avalon_and_san luis obispo.json,avalon_and_santa barbara.json,avalon_and_santa cruz.json,berkeley_and_newport beach.json,berkeley_and_pismo beach.json,berkeley_and_huntington beach.json,beverly hills_and_san francisco.json,big bear lake_and_san luis obispo.json,big bear lake_and_santa barbara.json,big bear lake_and_santa cruz.json,fremont_and_huntington beach.json,fremont_and_long beach.json,fremont_and_los angeles.json,fremont_and_malibu.json,fremont_and_newport beach.json,fremont_and_pismo beach.json,fremont_and_san luis obispo.json,fremont_and_santa barbara.json,fremont_and_santa monica.json,fresno_and_pismo beach.json,fresno_and_santa barbara.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_oakland.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa barbara.json,huntington beach_and_santa cruz.json,huntington beach_and_stockton.json,irvine_and_pismo beach.json,huntington beach_and_san jose.json,long beach_and_napa.json,long beach_and_pismo beach.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_san luis obispo.json,long beach_and_santa cruz.json,long beach_and_stockton.json,los angeles_and_malibu.json,los angeles_and_monterey.json,los angeles_and_pismo beach.json,los angeles_and_san francisco.json,los angeles_and_san jose.json,los angeles_and_santa barbara.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa barbara.json,malibu_and_santa cruz.json,malibu_and_stockton.json,monterey_and_pismo beach.json,monterey_and_san diego.json,monterey_and_san luis obispo.json,monterey_and_santa barbara.json,napa_and_newport beach.json,napa_and_pismo beach.json,napa_and_santa ana.json,napa_and_santa barbara.json,napa_and_santa clarita.json,napa_and_santa monica.json,long beach_and_monterey.json,long beach_and_santa barbara.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,monterey_and_newport beach.json,monterey_and_santa monica.json,newport beach_and_oakland.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_san luis obispo.json,newport beach_and_santa barbara.json,newport beach_and_santa cruz.json,newport beach_and_stockton.json,pasadena_and_pismo beach.json,pasadena_and_santa barbara.json,pasadena_and_santa cruz.json,pismo beach_and_riverside.json,pismo beach_and_san bernardino.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa ana.json,pismo beach_and_santa barbara.json,pismo beach_and_santa clarita.json,pismo beach_and_santa cruz.json,pismo beach_and_santa monica.json,pismo beach_and_stockton.json,riverside_and_santa barbara.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,san bernardino_and_san francisco.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa barbara.json,san diego_and_san jose.json,san diego_and_san luis obispo.json,san diego_and_santa barbara.json,san diego_and_santa cruz.json,san diego_and_santa monica.json,san diego_and_sausalito.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa monica.json,san francisco_and_temecula.json,san jose_and_san luis obispo.json,san jose_and_santa barbara.json,newport beach_and_pismo beach.json,oakland_and_pismo beach.json,san jose_and_santa monica.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa barbara.json,san luis obispo_and_santa clarita.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json,san luis obispo_and_stockton.json,santa ana_and_santa barbara.json,santa ana_and_santa cruz.json,santa ana_and_stockton.json,santa barbara_and_santa clarita.json,santa barbara_and_santa cruz.json,santa barbara_and_santa monica.json,santa barbara_and_stockton.json,santa barbara_and_temecula.json,santa cruz_and_santa monica.json,santa monica_and_stockton.json""","Santa Barbara Botanic Garden","""Gardens , Nature & Parks ""","""It is very nice. It is not as grand as the more well known gardens, but it has depth and is a nice way to spend a few hours. Enjoyed it!""","15","460","805-682-4726","Santa Barbara","""1212 Mission Canyon Rd , Santa Barbara , CA 93105-2199""","93105","","","https://www.tripadvisor.com/Attraction_Review-g33045-d104227-Reviews-Santa_Barbara_Botanic_Garden-Santa_Barbara_California.html","santa_barbara.json","""g78_5Wpcl7M,YHrWRcDtBDk,nd3274ca98c""","100"
"lindsay wildlife museum","museum","1","""Lindsay Wildlife Experience, Briones to Mt. Diablo Trail, Walnut Creek, Contra Costa County, California, 94597, United States of America""","94597","-122.075719984299","37.92339515","2","""fremont_and_sacramento.json,fremont_and_sausalito.json""","Lindsay Wildlife Museum","""Nature & Wildlife Areas , Nature & Parks""","Not that expensive and has a really neat interactive bird rescue section. It's not a huge place but enough to entertain the kids.","1","155","+1 925-935-1978","Walnut Creek","""1931 1st Ave , Walnut Creek , CA 94597-2540""","94597","","","https://www.tripadvisor.com/Attraction_Review-g33235-d1175688-Reviews-Lindsay_Wildlife_Museum-Walnut_Creek_California.html","walnut_creek.json","""qnxzNTIjNpk,wwI6UYUChkE,PjV3ShToDfo""","100"
"crocker art museum","museum","1","""Crocker Art Museum, 216, O Street, Sacramento, Sacramento County, California, 95814, United States of America""","95814","-121.5061706","38.5771169","1","riverside_and_sacramento.json","Crocker Art Museum","""Art Museums , Museums""","""This is one of the most underrated or unknown places in town, while being my favorite, by far. I travel a lot and visit many museums, yet also live Sacramento. Many of our friends... read more""","2","731","+1 916-808-7000","Sacramento","""216 O St , Sacramento , CA 95814-5399""","95814","","","https://www.tripadvisor.com/Attraction_Review-g32999-d105182-Reviews-Crocker_Art_Museum-Sacramento_California.html","sacramento.json","""aCNMQwP64_w,JDKnSZ_E5OU""","100"
"almaden quicksilver county park","park","1","""Almaden Quicksilver County Park, Santa Isabel Trail, Almaden, New Almaden, Santa Clara County, California, 95120, United States of America""","95120","-121.846334668715","37.1850743","16","""bakersfield_and_monterey.json,berkeley_and_monterey.json,fremont_and_monterey.json,fresno_and_monterey.json,fresno_and_oakland.json,fresno_and_pasadena.json,malibu_and_san jose.json,monterey_and_oakland.json,monterey_and_pasadena.json,monterey_and_riverside.json,monterey_and_temecula.json,malibu_and_monterey.json,pasadena_and_sacramento.json,riverside_and_san jose.json,sacramento_and_temecula.json,san jose_and_temecula.json""","Almaden Quicksilver County Park","""Points of Interest & Landmarks , Nature & Parks , Sights & Landmarks""","Many trails provide hikers with the opportunity to birdwatch and learn some history relating to mercury minng The trails are empty midweek Be sure to take water","11","112","+1 408-358-3741 ext. 131","San Jose","""At the corner of McAbee Road and Camden Avenue , San Jose , CA 95120""","95120","","","https://www.tripadvisor.com/Attraction_Review-g33020-d146952-Reviews-Almaden_Quicksilver_County_Park-San_Jose_California.html","san_jose.json","""uDQOwTJ1IkU,6-dRc7F4OwY,bjaguP5w0G8""","100"
"san diego model railroad museum","museum","1","""San Diego Model Railroad Museum, Space Theater Way, Hillcrest, San Diego, San Diego County, California, 92101, United States of America""","92101","-117.1489201","32.7311564","1","carlsbad_and_san luis obispo.json","San Diego Model Railroad Museum","""Neighborhood: Balboa Park Specialty Museums , Museums ""","enjoyed walking around and seeing the layout of the track The trains are running which makes viewing the exhibit interesting and enjoyable.","38","335","+1 619-696-0199","San Diego","""1649 El Prado , San Diego , CA 92101-1621""","92101","","","https://www.tripadvisor.com/Attraction_Review-g60750-d126992-Reviews-San_Diego_Model_Railroad_Museum-San_Diego_California.html","san_diego.json","""ipyVfhv5Qbw,fbEbOIPbDP0,EuHWdEkDJao""","100"
"old town clovis","cycleway","2","""Old Town Trail, Clovis, Fresno County, California, 93612, United States of America""","93612","-119.7044089","36.8339731","4","""avalon_and_fresno.json,bakersfield_and_fresno.json,fresno_and_sausalito.json,fresno_and_stockton.json""","Old Town Clovis","""Points of Interest & Landmarks , Sights & Landmarks""","""This town is lovely. A great place to walk around & take in the area. Great shops, great restaurants & friendly people.""","1","129","+1 559-298-5774","Clovis","""Clovis Ave , Clovis , CA""","","-119.7002381","36.7996978","https://www.tripadvisor.com/Attraction_Review-g32225-d5602055-Reviews-Old_Town_Clovis-Clovis_California.html","clovis.json","""3QXoFzi7Z2Y,gsAB3DlckFg,hT3WxYOiuEw""","100"
"diamond valley lake","water","15","""Diamond Valley Lake, Old Mine Road, Egan, Riverside County, California, 92543, United States of America""","92543","-117.027609780569","33.679902","18","""anaheim_and_temecula.json,avalon_and_temecula.json,bakersfield_and_temecula.json,berkeley_and_temecula.json,fremont_and_temecula.json,fresno_and_temecula.json,irvine_and_temecula.json,los angeles_and_temecula.json,malibu_and_temecula.json,mammoth lakes_and_santa monica.json,napa_and_temecula.json,pasadena_and_temecula.json,sacramento_and_temecula.json,san diego_and_temecula.json,oakland_and_temecula.json,santa clarita_and_temecula.json,santa cruz_and_temecula.json,sausalito_and_temecula.json""","Diamond Valley Lake","","""If you're planning to spend a full day, and bringing your own boat, it's probably 5 stars for value and experience. The lake itself is truly a picturesque gem. If you're just... read more""","4","48","+1 951-926-7201","Hemet","""2615 Angler Ave , Hemet , CA 92543-9703""","92543","","","https://www.tripadvisor.com/Attraction_Review-g32486-d664708-Reviews-Diamond_Valley_Lake-Hemet_California.html","hemet.json","""w-pENTZ7wHg,suEGS-s1GQ0,q8hRyOMP3Cs""","100"
"echo park","neighbourhood","8","""Echo Park, Angelino Heights, LA, Los Angeles County, California, 90026, United States of America""","90026","-118.2608734","34.074","27","""anaheim_and_santa monica.json,bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_los angeles.json,beverly hills_and_monterey.json,beverly hills_and_pasadena.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_san jose.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,fresno_and_long beach.json,fresno_and_santa ana.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,long beach_and_santa clarita.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,pasadena_and_santa monica.json,sacramento_and_santa ana.json,santa monica_and_sausalito.json,santa monica_and_temecula.json""","Echo Park","""Neighborhoods , Nature & Parks , Sights & Landmarks , Other""","""Great little city park surrounding excellent lake. Some nice shady areas to sit and relax, eat your lunch, people watch. Many people use the path for jogging. Even though you're... read more""","105","51","+1 323-860-8874","Los Angeles","""Los Angeles , CA 90026""","90026","-118.2601763","34.0634381","https://www.tripadvisor.com/Attraction_Review-g32655-d276912-Reviews-Echo_Park-Los_Angeles_California.html","los_angeles.json","""pb9Wx_DSy-8,P9_-cD240Gg,wOGX8igvUFk""","100"
"burton w. chace park","park","2","""Burton W. Chace Park, Market Street, North Long Beach, Long Beach, Los Angeles County, California, 90805, United States of America""","90805","-118.194963709773","33.85453775","4","""beverly hills_and_carlsbad.json,beverly hills_and_irvine.json,beverly hills_and_san diego.json,san bernardino_and_santa monica.json""","Burton W. Chace Park","Nature & Parks","""Burton Chase Park is not a """"destination spot"""" per say but it is a nice spot to pause, sit and relax, people watch and take a break!""","2","70","+1 310-305-9595","Marina del Rey","""13650 Mindanao Way , Marina del Rey , CA 90292""","13650","-118.4401718","33.9798441","https://www.tripadvisor.com/Attraction_Review-g32684-d636086-Reviews-Burton_W_Chace_Park-Marina_del_Rey_California.html","marina_del_rey.json","""lIsk7zArT5g,FzN69WcEU_8,D8WLz3RPz70""","100"
"san francisco botanical garden","attraction","2","""San Francisco Botanical Garden, Lincoln Way, Inner Sunset, SF, California, 94122, United States of America""","94122","-122.469608375011","37.7673662","11","""berkeley_and_san francisco.json,berkeley_and_fremont.json,fremont_and_oakland.json,fremont_and_sacramento.json,fremont_and_san francisco.json,fremont_and_sausalito.json,long beach_and_oakland.json,oakland_and_san francisco.json,oakland_and_san jose.json,san francisco_and_santa ana.json,sacramento_and_san francisco.json""","San Francisco Botanical Garden","""Gardens , Nature & Wildlife Areas , Nature & Parks ""","We are still working our way through Nat Geo's best public gardens and the San Francisco Botanical Garden is certainly deserving of being on the list. We were actually killing... read more","42","532","(415) 661-1316","San Francisco","""1199 9th Ave , Golden Gate Park , San Francisco , CA 94122""","94122","","","https://www.tripadvisor.com/Attraction_Review-g60713-d104952-Reviews-San_Francisco_Botanical_Garden-San_Francisco_California.html","san_francisco.json","""9Bt3gFLjjYY,_DGQ027Wjnw,ZoSiYrVk-iM""","100"
"ellen browning scripps park","park","1","""Ellen Browning Scripps Park, Coast Boulevard, La Jolla, San Diego, San Diego County, California, 92037, United States of America""","92037","-117.275224864594","32.84931585","4","""carlsbad_and_temecula.json,long beach_and_san diego.json,long beach_and_temecula.json,newport beach_and_temecula.json""","Ellen Browning Scripps Park","Nature & Parks","This is an incredible piece of green space that is pet friendly and relaxing! The views are stunning and the ocean breeze makes comfortable on the hottest days","17","124","+1 858-538-8085","La Jolla","""1133 Coast Blvd , La Jolla , San Diego , CA 92037-3638""","92037","","","https://www.tripadvisor.com/Attraction_Review-g32578-d559915-Reviews-Ellen_Browning_Scripps_Park-La_Jolla_San_Diego_California.html","la_jolla.json","""Wwfjmij9UKs,5RCEDQndZ7U,UF9AAL-UxW4""","100"
"hollywood sign","attraction","11","""Hollywood Sign, Mount Lee Drive, Hollywood Hills, LA, Los Angeles County, California, 90068, United States of America""","90068","-118.3216522","34.1340991","21","""anaheim_and_berkeley.json,anaheim_and_stockton.json,beverly hills_and_carlsbad.json,beverly hills_and_fremont.json,beverly hills_and_irvine.json,beverly hills_and_los angeles.json,beverly hills_and_malibu.json,beverly hills_and_pasadena.json,beverly hills_and_riverside.json,beverly hills_and_san bernardino.json,beverly hills_and_san diego.json,beverly hills_and_san luis obispo.json,fremont_and_santa barbara.json,los angeles_and_pasadena.json,los angeles_and_santa monica.json,sacramento_and_san luis obispo.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa barbara.json,sacramento_and_san bernardino.json,santa barbara_and_stockton.json,santa monica_and_sausalito.json""","Hollywood Sign","""Neighborhood: Central L.A Points of Interest & Landmarks , Sights & Landmarks ""","""We were fortunate enough to be able to see the sign from our hostel on hollywood blvd. so did not have to make any special trips. As others have observed, the sign is just that, a... read more""","30","""4,495""","","Los Angeles","""Los Angeles , CA 90068""","90068","-118.332898071254","34.10281135","https://www.tripadvisor.com/Attraction_Review-g32655-d144152-Reviews-Hollywood_Sign-Los_Angeles_California.html","los_angeles.json","""xEhFJzG63j8,Eezy6FKQPsY,bTjanydZh9Q""","100"
