mention_name,mention_type,mention_popularity,mention_address,no_of_blogFiles,mention_found_in_blogFiles
salinas,city,12,"Salinas, Monterey County, California, United States of America",28,"anaheim_and_monterey.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa cruz.json,avalon_and_monterey.json,bakersfield_and_fremont.json,bakersfield_and_monterey.json,bakersfield_and_san diego.json,bakersfield_and_san francisco.json,bakersfield_and_san jose.json,bakersfield_and_santa cruz.json,beverly hills_and_san luis obispo.json,fremont_and_monterey.json,irvine_and_monterey.json,los angeles_and_oakland.json,los angeles_and_san jose.json,malibu_and_san jose.json,monterey_and_oakland.json,monterey_and_riverside.json,monterey_and_san jose.json,monterey_and_san luis obispo.json,long beach_and_monterey.json,pismo beach_and_san jose.json,san jose_and_san luis obispo.json,san jose_and_santa barbara.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json,santa monica_and_stockton.json"
santa clara station,city,1,"Santa Clara, Santa Clara County, California, United States of America",2,"monterey_and_santa clarita.json,santa clarita_and_santa cruz.json"
maricopa,city,1,"Maricopa, Kern County, California, United States of America",1,bakersfield_and_pismo beach.json
aliso viejo,city,3,"Aliso Viejo, Orange County, California, United States of America",24,"irvine_and_los angeles.json,irvine_and_riverside.json,irvine_and_san jose.json,irvine_and_santa clarita.json,irvine_and_santa cruz.json,los angeles_and_riverside.json,los angeles_and_santa ana.json,los angeles_and_stockton.json,los angeles_and_santa cruz.json,pasadena_and_riverside.json,pasadena_and_santa ana.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_santa barbara.json,riverside_and_santa clarita.json,riverside_and_santa cruz.json,riverside_and_stockton.json,sacramento_and_santa clarita.json,san diego_and_santa ana.json,san diego_and_santa clarita.json,san francisco_and_santa ana.json,san francisco_and_santa clarita.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json"
la santa cruz,city,1,"Santa Cruz, Santa Cruz County, California, United States of America",1,san bernardino_and_santa cruz.json
santa monica mountain,city,1,"Santa Monica, Los Angeles County, California, United States of America",13,"beverly hills_and_pismo beach.json,carlsbad_and_santa barbara.json,huntington beach_and_san bernardino.json,huntington beach_and_santa clarita.json,monterey_and_san diego.json,newport beach_and_santa barbara.json,pismo beach_and_san bernardino.json,pismo beach_and_santa clarita.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_santa monica.json,san luis obispo_and_santa clarita.json,santa barbara_and_santa clarita.json"
scotts valley,city,1,"Scotts Valley, Santa Cruz County, California, United States of America",1,san luis obispo_and_santa cruz.json
east oakland,city,5,"Oakland, Alameda County, California, United States of America",11,"berkeley_and_oakland.json,berkeley_and_sacramento.json,berkeley_and_san francisco.json,berkeley_and_fremont.json,fremont_and_monterey.json,fremont_and_napa.json,fremont_and_oakland.json,fremont_and_sacramento.json,long beach_and_oakland.json,oakland_and_san diego.json,san francisco_and_stockton.json"
yuba-sutter,city,1,"Yuba City, Sutter County, California, United States of America",9,"bakersfield_and_napa.json,bakersfield_and_sacramento.json,bakersfield_and_san francisco.json,bakersfield_and_stockton.json,fresno_and_napa.json,fresno_and_sacramento.json,fresno_and_stockton.json,napa_and_sacramento.json,sacramento_and_stockton.json"
morro bay ca,city,2,"Morro Bay, San Luis Obispo County, California, United States of America",118,"anaheim_and_bakersfield.json,anaheim_and_berkeley.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_mammoth lakes.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_sacramento.json,anaheim_and_san jose.json,anaheim_and_sausalito.json,avalon_and_bakersfield.json,avalon_and_berkeley.json,avalon_and_fremont.json,avalon_and_fresno.json,avalon_and_mammoth lakes.json,avalon_and_monterey.json,avalon_and_oakland.json,avalon_and_pismo beach.json,avalon_and_sacramento.json,avalon_and_san jose.json,bakersfield_and_san bernardino.json,beverly hills_and_sausalito.json,avalon_and_santa barbara.json,avalon_and_santa cruz.json,avalon_and_sausalito.json,bakersfield_and_carlsbad.json,bakersfield_and_fremont.json,bakersfield_and_irvine.json,bakersfield_and_malibu.json,bakersfield_and_mammoth lakes.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_riverside.json,bakersfield_and_san francisco.json,bakersfield_and_san jose.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,bakersfield_and_temecula.json,berkeley_and_malibu.json,berkeley_and_riverside.json,berkeley_and_san bernardino.json,berkeley_and_beverly hills.json,berkeley_and_carlsbad.json,berkeley_and_fresno.json,berkeley_and_irvine.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_oakland.json,carlsbad_and_fremont.json,carlsbad_and_fresno.json,carlsbad_and_mammoth lakes.json,carlsbad_and_monterey.json,carlsbad_and_oakland.json,carlsbad_and_sacramento.json,carlsbad_and_sausalito.json,fremont_and_fresno.json,fremont_and_irvine.json,fremont_and_malibu.json,fremont_and_pasadena.json,fremont_and_san bernardino.json,fremont_and_temecula.json,fresno_and_irvine.json,fresno_and_malibu.json,fresno_and_monterey.json,fresno_and_oakland.json,fresno_and_pasadena.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_san francisco.json,fresno_and_san jose.json,fresno_and_sausalito.json,fresno_and_stockton.json,fresno_and_temecula.json,irvine_and_monterey.json,irvine_and_oakland.json,irvine_and_sacramento.json,irvine_and_san jose.json,irvine_and_sausalito.json,fremont_and_riverside.json,fresno_and_riverside.json,malibu_and_oakland.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_stockton.json,mammoth lakes_and_pasadena.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_temecula.json,monterey_and_pasadena.json,monterey_and_riverside.json,monterey_and_san diego.json,monterey_and_temecula.json,malibu_and_monterey.json,mammoth lakes_and_sausalito.json,newport beach_and_sacramento.json,oakland_and_pasadena.json,oakland_and_riverside.json,oakland_and_san bernardino.json,pasadena_and_sacramento.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_sausalito.json,pasadena_and_stockton.json,riverside_and_sacramento.json,riverside_and_san jose.json,riverside_and_sausalito.json,riverside_and_stockton.json,san bernardino_and_sausalito.json,san diego_and_san jose.json,san diego_and_sausalito.json,san diego_and_stockton.json,san francisco_and_temecula.json,sacramento_and_san diego.json,oakland_and_temecula.json,irvine_and_stockton.json,san jose_and_temecula.json,sausalito_and_temecula.json,stockton_and_temecula.json"
chowchilla,city,1,"Chowchilla, Madera County, California, United States of America",5,"beverly hills_and_san luis obispo.json,fremont_and_santa barbara.json,sacramento_and_san luis obispo.json,san bernardino_and_san luis obispo.json,sacramento_and_san bernardino.json"
long beach.and,city,1,"Long Beach, Los Angeles County, California, United States of America",4,"anaheim_and_long beach.json,berkeley_and_long beach.json,long beach_and_sacramento.json,long beach_and_stockton.json"
gabriel valley,city,1,"San Gabriel, Los Angeles County, California, United States of America",3,"beverly hills_and_los angeles.json,los angeles_and_pasadena.json,los angeles_and_santa monica.json"
s. lake tahoe,city,1,"South Lake Tahoe, El Dorado County, California, United States of America",1,mammoth lakes_and_santa clarita.json
morro bay morro bay,city,1,"Morro Bay, San Luis Obispo County, California, United States of America",1,bakersfield_and_pismo beach.json
stanton,city,1,"Stanton, Orange County, California, United States of America",1,huntington beach_and_irvine.json
montebello,city,2,"Montebello, Los Angeles County, California, United States of America",2,"beverly hills_and_monterey.json,beverly hills_and_pasadena.json"
atascadero,city,11,"Atascadero, San Luis Obispo County, California, United States of America",79,"anaheim_and_fresno.json,anaheim_and_san jose.json,anaheim_and_sausalito.json,avalon_and_bakersfield.json,avalon_and_pismo beach.json,bakersfield_and_san bernardino.json,avalon_and_sausalito.json,bakersfield_and_long beach.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_riverside.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,berkeley_and_san luis obispo.json,big bear lake_and_san luis obispo.json,big bear lake_and_sausalito.json,carlsbad_and_oakland.json,carlsbad_and_sacramento.json,carlsbad_and_stockton.json,fremont_and_pismo beach.json,fremont_and_san luis obispo.json,fremont_and_santa clarita.json,fresno_and_los angeles.json,fresno_and_monterey.json,fresno_and_oakland.json,fresno_and_sacramento.json,fresno_and_san bernardino.json,fresno_and_san jose.json,fresno_and_santa clarita.json,fresno_and_stockton.json,huntington beach_and_sacramento.json,huntington beach_and_sausalito.json,irvine_and_sacramento.json,irvine_and_san luis obispo.json,irvine_and_sausalito.json,long beach_and_pismo beach.json,long beach_and_san luis obispo.json,long beach_and_stockton.json,los angeles_and_san luis obispo.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_sausalito.json,mammoth lakes_and_riverside.json,monterey_and_sacramento.json,monterey_and_san bernardino.json,napa_and_pismo beach.json,mammoth lakes_and_sausalito.json,newport beach_and_san luis obispo.json,oakland_and_san luis obispo.json,oakland_and_santa clarita.json,pasadena_and_san luis obispo.json,pasadena_and_sausalito.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa ana.json,pismo beach_and_stockton.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_san luis obispo.json,sacramento_and_santa clarita.json,san bernardino_and_san jose.json,san bernardino_and_sausalito.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,oakland_and_pismo beach.json,san bernardino_and_stockton.json,santa clarita_and_sausalito.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa clarita.json,san luis obispo_and_sausalito.json,san luis obispo_and_stockton.json,santa clarita_and_santa cruz.json,santa monica_and_sausalito.json,santa monica_and_stockton.json,stockton_and_temecula.json"
santee,city,1,"Santee, San Diego County, California, United States of America",17,"anaheim_and_carlsbad.json,anaheim_and_san francisco.json,anaheim_and_temecula.json,avalon_and_carlsbad.json,avalon_and_san diego.json,beverly hills_and_carlsbad.json,avalon_and_temecula.json,beverly hills_and_temecula.json,carlsbad_and_long beach.json,carlsbad_and_riverside.json,carlsbad_and_san bernardino.json,carlsbad_and_los angeles.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san francisco_and_temecula.json,san jose_and_temecula.json"
mission viejo,city,1,"Mission Viejo, Orange County, California, United States of America",1,pasadena_and_sacramento.json
san bernardino california,city,2,"San Bernardino, San Bernardino County, California, United States of America",2,"monterey_and_san bernardino.json,san bernardino_and_santa ana.json"
orange cove,city,2,"Orange Cove, Fresno County, California, United States of America",3,"mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
irvine california,city,2,"Irvine, Orange County, California, United States of America",3,"avalon_and_irvine.json,irvine_and_newport beach.json,irvine_and_santa ana.json"
el monte,city,5,"El Monte, Los Angeles County, California, United States of America",27,"bakersfield_and_beverly hills.json,bakersfield_and_long beach.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_pasadena.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,fresno_and_long beach.json,fresno_and_san bernardino.json,fresno_and_santa ana.json,long beach_and_oakland.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,long beach_and_santa clarita.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,oakland_and_san bernardino.json,pasadena_and_riverside.json,riverside_and_santa monica.json,sacramento_and_santa ana.json,san bernardino_and_santa monica.json,santa monica_and_temecula.json"
mount soledad,city,1,"Soledad, Monterey County, California, United States of America",5,"berkeley_and_san diego.json,carlsbad_and_san jose.json,fremont_and_san diego.json,san diego_and_stockton.json,sacramento_and_san diego.json"
san marcos,city,8,"San Marcos, San Diego County, California, United States of America",15,"avalon_and_san bernardino.json,avalon_and_temecula.json,bakersfield_and_newport beach.json,berkeley_and_carlsbad.json,big bear lake_and_santa barbara.json,big bear lake_and_santa clarita.json,carlsbad_and_irvine.json,carlsbad_and_long beach.json,carlsbad_and_san bernardino.json,irvine_and_santa barbara.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,san francisco_and_santa barbara.json,san luis obispo_and_santa ana.json,santa barbara_and_stockton.json"
huntington gardens,city,1,"Huntington Beach, Orange County, California, United States of America",2,"beverly hills_and_huntington beach.json,beverly hills_and_long beach.json"
lakewood,city,5,"Lakewood, Los Angeles County, California, United States of America",21,"anaheim_and_fresno.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_malibu.json,fresno_and_pasadena.json,fresno_and_temecula.json,huntington beach_and_sacramento.json,irvine_and_malibu.json,irvine_and_oakland.json,irvine_and_riverside.json,irvine_and_sacramento.json,fresno_and_riverside.json,irvine_and_pasadena.json,irvine_and_temecula.json,long beach_and_santa ana.json,long beach_and_temecula.json,malibu_and_riverside.json,pasadena_and_riverside.json,pasadena_and_temecula.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa clarita.json"
carlsbad california,city,5,"Carlsbad, San Diego County, California, United States of America",21,"anaheim_and_berkeley.json,anaheim_and_carlsbad.json,beverly hills_and_carlsbad.json,berkeley_and_carlsbad.json,beverly hills_and_san diego.json,carlsbad_and_fremont.json,carlsbad_and_long beach.json,carlsbad_and_monterey.json,carlsbad_and_napa.json,carlsbad_and_oakland.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,carlsbad_and_san bernardino.json,carlsbad_and_san diego.json,carlsbad_and_san jose.json,carlsbad_and_santa ana.json,carlsbad_and_santa barbara.json,carlsbad_and_santa clarita.json,carlsbad_and_santa cruz.json,carlsbad_and_santa monica.json,san diego_and_san jose.json"
chino,city,3,"Chino, San Bernardino County, California, United States of America",3,"avalon_and_san bernardino.json,san bernardino_and_santa ana.json,san bernardino_and_temecula.json"
upland,city,5,"Upland, San Bernardino County, California, United States of America",5,"long beach_and_san bernardino.json,riverside_and_santa monica.json,san bernardino_and_santa monica.json,san bernardino_and_temecula.json,stockton_and_temecula.json"
san luis obispo,city,217,"San Luis Obispo, San Luis Obispo County, California, United States of America",296,"anaheim_and_bakersfield.json,anaheim_and_berkeley.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_pismo beach.json,anaheim_and_sacramento.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa barbara.json,anaheim_and_santa cruz.json,anaheim_and_sausalito.json,anaheim_and_stockton.json,avalon_and_bakersfield.json,avalon_and_monterey.json,avalon_and_pismo beach.json,avalon_and_san jose.json,avalon_and_san luis obispo.json,anaheim_and_napa.json,bakersfield_and_san bernardino.json,berkeley_and_long beach.json,beverly hills_and_pismo beach.json,avalon_and_santa barbara.json,bakersfield_and_berkeley.json,bakersfield_and_beverly hills.json,bakersfield_and_fremont.json,bakersfield_and_long beach.json,bakersfield_and_los angeles.json,bakersfield_and_malibu.json,bakersfield_and_monterey.json,bakersfield_and_newport beach.json,bakersfield_and_oakland.json,bakersfield_and_pismo beach.json,bakersfield_and_san diego.json,bakersfield_and_san francisco.json,bakersfield_and_san jose.json,bakersfield_and_san luis obispo.json,bakersfield_and_santa ana.json,bakersfield_and_santa cruz.json,bakersfield_and_santa monica.json,bakersfield_and_stockton.json,berkeley_and_los angeles.json,berkeley_and_malibu.json,berkeley_and_newport beach.json,berkeley_and_pismo beach.json,berkeley_and_san diego.json,berkeley_and_san luis obispo.json,berkeley_and_santa ana.json,berkeley_and_santa barbara.json,berkeley_and_santa monica.json,berkeley_and_beverly hills.json,berkeley_and_carlsbad.json,berkeley_and_huntington beach.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_mammoth lakes.json,beverly hills_and_monterey.json,beverly hills_and_napa.json,beverly hills_and_oakland.json,beverly hills_and_sacramento.json,beverly hills_and_san francisco.json,beverly hills_and_san jose.json,beverly hills_and_san luis obispo.json,beverly hills_and_santa cruz.json,beverly hills_and_stockton.json,big bear lake_and_napa.json,big bear lake_and_san luis obispo.json,big bear lake_and_santa barbara.json,carlsbad_and_monterey.json,carlsbad_and_oakland.json,carlsbad_and_pismo beach.json,carlsbad_and_sacramento.json,carlsbad_and_santa barbara.json,carlsbad_and_santa cruz.json,carlsbad_and_stockton.json,fremont_and_fresno.json,fremont_and_huntington beach.json,fremont_and_long beach.json,fremont_and_los angeles.json,fremont_and_malibu.json,fremont_and_newport beach.json,fremont_and_pasadena.json,fremont_and_pismo beach.json,fremont_and_san diego.json,fremont_and_san luis obispo.json,fremont_and_santa barbara.json,fremont_and_santa monica.json,fresno_and_long beach.json,fresno_and_los angeles.json,fresno_and_malibu.json,fresno_and_monterey.json,fresno_and_oakland.json,fresno_and_pasadena.json,fresno_and_pismo beach.json,fresno_and_sacramento.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_san francisco.json,fresno_and_san jose.json,fresno_and_san luis obispo.json,fresno_and_santa ana.json,fresno_and_santa barbara.json,fresno_and_santa cruz.json,fresno_and_santa monica.json,fresno_and_stockton.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_oakland.json,huntington beach_and_sacramento.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa barbara.json,huntington beach_and_santa cruz.json,huntington beach_and_stockton.json,irvine_and_monterey.json,irvine_and_oakland.json,irvine_and_pismo beach.json,irvine_and_sacramento.json,irvine_and_san jose.json,irvine_and_san luis obispo.json,irvine_and_santa barbara.json,irvine_and_santa cruz.json,carlsbad_and_san luis obispo.json,fresno_and_riverside.json,huntington beach_and_san jose.json,long beach_and_napa.json,long beach_and_oakland.json,long beach_and_pismo beach.json,long beach_and_sacramento.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_san luis obispo.json,long beach_and_santa cruz.json,long beach_and_stockton.json,los angeles_and_mammoth lakes.json,los angeles_and_monterey.json,los angeles_and_napa.json,los angeles_and_oakland.json,los angeles_and_pismo beach.json,los angeles_and_sacramento.json,los angeles_and_san francisco.json,los angeles_and_san jose.json,los angeles_and_san luis obispo.json,los angeles_and_santa barbara.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_napa.json,malibu_and_oakland.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa barbara.json,malibu_and_santa cruz.json,malibu_and_sausalito.json,malibu_and_stockton.json,mammoth lakes_and_monterey.json,mammoth lakes_and_newport beach.json,mammoth lakes_and_pasadena.json,malibu_and_mammoth lakes.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san francisco.json,mammoth lakes_and_san jose.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa cruz.json,mammoth lakes_and_santa monica.json,monterey_and_napa.json,monterey_and_pasadena.json,monterey_and_pismo beach.json,monterey_and_riverside.json,monterey_and_sacramento.json,monterey_and_san bernardino.json,monterey_and_san diego.json,monterey_and_san luis obispo.json,monterey_and_santa ana.json,monterey_and_santa barbara.json,monterey_and_santa clarita.json,monterey_and_temecula.json,napa_and_newport beach.json,napa_and_pismo beach.json,napa_and_san diego.json,napa_and_san luis obispo.json,napa_and_santa ana.json,napa_and_santa barbara.json,napa_and_santa clarita.json,napa_and_santa monica.json,long beach_and_monterey.json,long beach_and_santa barbara.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,mammoth lakes_and_pismo beach.json,monterey_and_newport beach.json,monterey_and_santa monica.json,newport beach_and_oakland.json,newport beach_and_sacramento.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_san luis obispo.json,newport beach_and_santa barbara.json,newport beach_and_santa cruz.json,newport beach_and_stockton.json,oakland_and_pasadena.json,oakland_and_san bernardino.json,oakland_and_san diego.json,oakland_and_san luis obispo.json,oakland_and_santa ana.json,oakland_and_santa barbara.json,oakland_and_santa clarita.json,oakland_and_santa monica.json,pasadena_and_pismo beach.json,pasadena_and_sacramento.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_san luis obispo.json,pasadena_and_santa barbara.json,pasadena_and_santa cruz.json,pasadena_and_stockton.json,pismo beach_and_riverside.json,pismo beach_and_sacramento.json,pismo beach_and_san bernardino.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_san luis obispo.json,pismo beach_and_santa ana.json,pismo beach_and_santa barbara.json,pismo beach_and_santa clarita.json,pismo beach_and_santa cruz.json,pismo beach_and_santa monica.json,pismo beach_and_sausalito.json,pismo beach_and_stockton.json,pismo beach_and_temecula.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_san jose.json,riverside_and_san luis obispo.json,riverside_and_santa barbara.json,riverside_and_stockton.json,sacramento_and_san luis obispo.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,sacramento_and_santa monica.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa barbara.json,san bernardino_and_santa cruz.json,san diego_and_san jose.json,san diego_and_san luis obispo.json,san diego_and_santa barbara.json,san diego_and_santa clarita.json,san diego_and_santa cruz.json,san diego_and_sausalito.json,san diego_and_stockton.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa clarita.json,san francisco_and_santa monica.json,san francisco_and_temecula.json,san jose_and_san luis obispo.json,san jose_and_santa ana.json,san jose_and_santa barbara.json,sacramento_and_san bernardino.json,sacramento_and_san diego.json,newport beach_and_pismo beach.json,oakland_and_pismo beach.json,oakland_and_temecula.json,san bernardino_and_stockton.json,san jose_and_santa monica.json,santa clarita_and_sausalito.json,irvine_and_stockton.json,san jose_and_temecula.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa barbara.json,san luis obispo_and_santa clarita.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json,san luis obispo_and_sausalito.json,san luis obispo_and_stockton.json,san luis obispo_and_temecula.json,santa ana_and_santa cruz.json,santa ana_and_sausalito.json,santa barbara_and_santa cruz.json,santa barbara_and_sausalito.json,santa barbara_and_stockton.json,santa barbara_and_temecula.json,santa clarita_and_stockton.json,santa cruz_and_santa monica.json,santa monica_and_sausalito.json,santa monica_and_stockton.json,stockton_and_temecula.json"
