attraction_name,attraction_knownFor,attraction_reviewComment,attraction_ranking,attraction_no_of_reviews,attraction_contact,attraction_in,attraction_address,attraction_longitude,attraction_latitude,attraction_url,attraction_in_file
Zuma Beach,"Neighborhood: Malibu Beaches , Outdoor Activities , Nature & Parks",brilliant any time of the year. ive bodysurfed...unintentionally with a pod of three surfing dolphins. they surf ..swim back and surf again. truly a joy to watch.,3,541,,Malibu,"30000 Pacific Coast Hwy , Malibu , CA 90265-3601",,,https://www.tripadvisor.com/Attraction_Review-g32676-d127533-Reviews-Zuma_Beach-Malibu_California.html,malibu.json
Dan Blocker Beach,,Just go about another seven miles north and you'll be in Zuma Beach. A much nicer place to go with plenty of surf.,36,12,,Malibu,"26000 Pacific Coast Hwy , Malibu , CA 90265-4520",,,https://www.tripadvisor.com/Attraction_Review-g32676-d272298-Reviews-Dan_Blocker_Beach-Malibu_California.html,malibu.json
Pepperdine University,"Educational sites , Sights & Landmarks","worth to go to the theater very good choice of performances and eclectic, Nice to access at a reasonable price, Book long time ahead",6,127,+1 310-456-4000,Malibu,"24255 Pacific Coast Hwy , Malibu , CA 90263-3999",,,https://www.tripadvisor.com/Attraction_Review-g32676-d144147-Reviews-Pepperdine_University-Malibu_California.html,malibu.json
Point Dume State Beach and Preserve,"Neighborhood: Malibu State Parks , Nature & Parks",Definitely worth the stop if you're causing the PCH. I wasn't able to find a good place to park. A park ranger said I could park at Zuma Beach but that comes with an $8.00 price... read more,2,242,+1 805-488-1827,Malibu,"Cliff Drive , Malibu , CA",,,https://www.tripadvisor.com/Attraction_Review-g32676-d946221-Reviews-Point_Dume_State_Beach_and_Preserve-Malibu_California.html,malibu.json
Leo Carrillo State Park and Beach,"Beaches , State Parks , Nature & Parks , Outdoor Activities",Getting to understand that each of these beaches are unique but also offer the same fantastic views and are uncrowded,9,165,+1 818-880-0350,Malibu,"35000 Pacific Coast Hwy , Malibu , CA 90265-2376",,,https://www.tripadvisor.com/Attraction_Review-g32676-d129305-Reviews-Leo_Carrillo_State_Park_and_Beach-Malibu_California.html,malibu.json
Legacy Park,,We visited this on our stop at Malibu... so pleased we did. We loved the mosaic animal sculptures and reading the information about the native plants. We also enjoyed reading... read more,27,11,310-317-1364,Malibu,"23500 Civic Center Way , Malibu , CA 90265-4898",,,https://www.tripadvisor.com/Attraction_Review-g32676-d7712361-Reviews-Legacy_Park-Malibu_California.html,malibu.json
El Pescador State Beach,,"Free parking on PCH, paid parking lot at entrance. Steep 5 - 10 min walk down to bottom of hill, not for the physically challenged. Had to literally jump down to beach and help my... read more",24,10,+1 310-457-8140,Malibu,"32900 Pacific Coast Highway , Malibu , CA 90265",-118.7546679,34.0300182,https://www.tripadvisor.com/Attraction_Review-g32676-d560719-Reviews-El_Pescador_State_Beach-Malibu_California.html,malibu.json
Ramirez Canyon Park,"“ hike under the shade of trees ” Reviewed 6 days ago NEW recommended when hot and sunny children would like, very good traced and good maintenance. for families and young baby caddybabby Helpful? Thank Etretat c Report A TripAdvisor Member “ Loved Ramirez Canyon Park ” Reviewed January 22, 2003 Really enjoyed the tour. Beautiful park. Fun to see all the interesting houses and furniture and decoration. Trees and flowers magnificent. Lovely tea and scones afterward. Very nice staff. Accommodating to an elderly person who was unable to walk on the tour, but enjoyed sitting in the patio among the wonderful trees. Helpful? 18 Thank A TripAdvisor Member Report",,37,2,,Malibu,,,,https://www.tripadvisor.com/Attraction_Review-g32676-d259774-Reviews-Ramirez_Canyon_Park-Malibu_California.html,malibu.json
Frederick Weisman Museum of Art,,"pleased to see an unexpected museum. Good location, Crowded unfortunately. ambiance and very good information from agents very cultural and interesting",32,4,(310) 506-4851,Malibu,"24255 Pacific Coast Hwy , Malibu , CA 90263-3999",,,https://www.tripadvisor.com/Attraction_Review-g32676-d10053837-Reviews-Frederick_Weisman_Museum_of_Art-Malibu_California.html,malibu.json
Malibu Playhouse,"“ Community theater with professional skills ” Reviewed January 21, 2016 Small theater with about 100 seats so there’s not a bad seat in the house. Seating is fairly basic, not comfortable but not horrible. We saw a one act play “Wonderful life” (it’s a …). Great staff with a positive attitude. Entrance to is a little tricky off PCH but there’s plenty and easy and free parking. Bathrooms are a... More Helpful? Thank SanMo Report",,2,2,,Manila,,,,https://www.tripadvisor.com/Attraction_Review-g8493974-d9755005-Reviews-Malibu_Playhouse-Manila_Humboldt_County_California.html,manila.json
Zuma and Trancas Canyons,,Take your time on 23...lots of hairpin turns and 20mph speed limit. Some great views so be sure to stop and take a few pictures. Breathtaking view of the Pacific Ocean from up... read more,29,6,8053702301,Malibu,"Busch Dr , North end of Busch Dr off of Pacific Coast Hwy , Malibu , CA 90265",,,https://www.tripadvisor.com/Attraction_Review-g32676-d9789740-Reviews-Zuma_and_Trancas_Canyons-Malibu_California.html,malibu.json
Broad Beach,,"Great beach experience a bit rocky but lots of fun, this was uncrowded and easy to experience try it.",26,19,+1 310-305-9503,Malibu,"31200 Pacific Coast Hwy , Malibu , CA 90265-2694",,,https://www.tripadvisor.com/Attraction_Review-g32676-d560718-Reviews-Broad_Beach-Malibu_California.html,malibu.json
Westward Beach,,Good sand no crowds plenty of parking and great for walking along the beCh. Enjoyed our stop here as you will,15,40,,Malibu,"Westward Beach Drive and Pacific Coast Highway , Malibu , CA",,,https://www.tripadvisor.com/Attraction_Review-g32676-d272299-Reviews-Westward_Beach-Malibu_California.html,malibu.json
Escondido falls hike,,"Two areas to hike. First is to the first set of falls and that is a very easy hike, especially in drought conditions. the second set of falls is north of the end of the first... read more",30,9,,Malibu,"27200 Winding Way , Malibu , CA 90265",-118.7802193,34.0275422,https://www.tripadvisor.com/Attraction_Review-g32676-d9991313-Reviews-Escondido_falls_hike-Malibu_California.html,malibu.json
Backbone Trail,,Several side trails and fire roads. Some of the trail systems are better than others. Some side trails are open to bikes some are not. The ocean front trails are great with great... read more,21,21,,Malibu,"Malibu , CA",-116.5023561,33.7932142,https://www.tripadvisor.com/Attraction_Review-g32676-d146185-Reviews-Backbone_Trail-Malibu_California.html,malibu.json
Solstice Canyon,"Canyons , Nature & Parks","The Solstice Canyon area and hike is a relatively simple hike, partially on an old paved road (off-limits to cars) for part of the way and a wide path up to an architetural digest... read more",14,61,,Malibu,"Santa Monica Mountains , Malibu , CA",,,https://www.tripadvisor.com/Attraction_Review-g32676-d146163-Reviews-Solstice_Canyon-Malibu_California.html,malibu.json
Nicholas Flat Trail,,"This is a way fun trail and beautiful hike. Although gentle hike, I'd avoid small kids or outa shape elderly. Surprisingly uncrowded trail even with the leo campground... read more",31,6,,Malibu,"Santa Monica Mountains , Malibu , CA",,,https://www.tripadvisor.com/Attraction_Review-g32676-d646016-Reviews-Nicholas_Flat_Trail-Malibu_California.html,malibu.json
Charmlee Wilderness Park,,"A short, only mildly difficult hike leads to one of Malibu's best and best-hidden views of the area beaches and Pacific Ocean. Even cloudy days make this a winner of a destination.",28,8,(310) 457-7247,Malibu,"2577 Encinal Canyon Rd , Malibu , CA 90265-2411",,,https://www.tripadvisor.com/Attraction_Review-g32676-d7733680-Reviews-Charmlee_Wilderness_Park-Malibu_California.html,malibu.json
Nicholas Canyon Beach,,"From Spring to Fall this spot is known for long left peeling off the point when South swells pour into the region. Best at low tide, early morning when winds blow off shore. Takes... read more",23,13,+1 310-457-2525,Malibu,"33904 Pacific Coast Hwy , Malibu , CA 90265-2315",,,https://www.tripadvisor.com/Attraction_Review-g32676-d560727-Reviews-Nicholas_Canyon_Beach-Malibu_California.html,malibu.json
Red Rock Canyon State Park,"State Parks , Nature & Parks",Red Rock Canyon is a tiny gem (actually it's quite huge if you have a car with 4x4) located right off the 14 highway about 30 minutes north of Mojave. You will see a sign where to... read more,1,63,,Cantil,"Hwy 14 , Cantil , CA",,,https://www.tripadvisor.com/Attraction_Review-g32160-d116955-Reviews-Red_Rock_Canyon_State_Park-Cantil_California.html,cantil.json
Borax Visitor Center,"Visitor Centers , Traveler Resources",We went to the Borax Visitor Center. There is an impressive statue of the 20 mule team which one immediately sees upon parking the car. There are also some other mining related... read more,1,65,+1 760-762-7588,Boron,"14486 Borax Rd , Boron , CA 93516-2017",,,https://www.tripadvisor.com/Attraction_Review-g32098-d2578456-Reviews-Borax_Visitor_Center-Boron_California.html,boron.json
Maturango Museum,"History Museums , Museums",This is a great little museum in the desert. It is well worth the time to go for both the Native American & petroglyph displays as well as the early mining history displays.,1,77,+1 760-375-6900,Ridgecrest,"100 E Las Flores Ave , Ridgecrest , CA 93555-3654",,,https://www.tripadvisor.com/Attraction_Review-g32966-d127407-Reviews-Maturango_Museum-Ridgecrest_California.html,ridgecrest.json
NASA Dryden Flight Research Center,,very interesting and not something you would see every day. This certainly explores all aspects of flight and leaves you wondering,2,4,+1 661-276-3449,Edwards,"Highway 58 , Edwards , CA 93523-0273",,,https://www.tripadvisor.com/Attraction_Review-g32330-d1382804-Reviews-NASA_Dryden_Flight_Research_Center-Edwards_California.html,edwards.json
Air Force Flight Test Museum,,Only do tours once a month for about 40 people so must make reservations months in advance. This is where almost all Air Force planes have been tested for the last 80 years or... read more,1,13,+1 661-277-8050,Edwards,"405 S Rosamond Blvd , Edwards , CA 93524-0001",,,https://www.tripadvisor.com/Attraction_Review-g32330-d4318031-Reviews-Air_Force_Flight_Test_Museum-Edwards_California.html,edwards.json
Colonel Vernon P. Saxon Aerospace Museum,,We stop at the Saxon Aerospace Museum every time we drive through to Az. It is the only place my young Son requests we stop. We have been going there at least every other year... read more,3,8,+1 760-762-6600,Boron,"26922 20 Mule Team Rd , Boron , CA 93516",,,https://www.tripadvisor.com/Attraction_Review-g32098-d2501306-Reviews-Colonel_Vernon_P_Saxon_Aerospace_Museum-Boron_California.html,boron.json
Red Rock Books,,"Very good customer service and so charming decor which tempts you to stay, sit down and just read and feel the literature atmosphere.",5,6,+(1)7603753454,Ridgecrest,"206 W Ridgecrest Blvd , Ridgecrest , CA 93555-4011",,,https://www.tripadvisor.com/Attraction_Review-g32966-d8376066-Reviews-Red_Rock_Books-Ridgecrest_California.html,ridgecrest.json
The Cat House,,Clearly the people here love their cats and are doing their part to preserve species. These are healthy animals in a beautiful facility. A real treat for visitors who can... read more,1,62,+1 661-256-3793,Rosamond,"3718 60th St W , Rosamond , CA 93560-7779",,,https://www.tripadvisor.com/Attraction_Review-g32986-d1861261-Reviews-The_Cat_House-Rosamond_California.html,rosamond.json
U.S. Naval Museum of Armament & Technology,,"China Lake Museum is MOVING off the base. The ground breaking for construction of the Museum will be October 14, 2016. The site will be East of the Maturango Museum. There will no... read more",1,17,+1 760-939-3530,China Lake,"1 Pearl Harbor Dr , Naval Air Warfare Center Weapons Division , China Lake , CA 93555-2803",,,https://www.tripadvisor.com/Attraction_Review-g32203-d283999-Reviews-U_S_Naval_Museum_of_Armament_Technology-China_Lake_California.html,china_lake.json
The BLVD,"Neighborhoods , Other, Sights & Landmarks",I grew up in Lancaster so I was astonished at the change in the downtown area. The BLVD seems to be quite a happening place with a good many bars and restaurants interspersed with... read more,1,134,661 723 6074,Lancaster,"Lancaster Boulevard , 10th Street West to Sierra Highway , Lancaster , CA",,,https://www.tripadvisor.com/Attraction_Review-g32607-d2521039-Reviews-The_BLVD-Lancaster_California.html,lancaster.json
Civic Musical Road,"Points of Interest & Landmarks , Sights & Landmarks",This is a funky type of attraction. A tune plays for several seconds as you drive along the road. Supposedly one of only two roads in the world like this.,2,99,,Lancaster,"3187 West Avenue G , Lancaster , CA 93536",-118.192213848568,34.7332180257762,https://www.tripadvisor.com/Attraction_Review-g32607-d3611775-Reviews-Civic_Musical_Road-Lancaster_California.html,lancaster.json
Trona Pinnacles,"Nature & Wildlife Areas , Nature & Parks","Wing Commander flew in for the road trip to Death Valley. Trona Road, the Pinnacles and hello for a burg in town ... all good bye. We loved the drive.",1,51,,Trona,"off SR 178 , Trona , CA 93555",,,https://www.tripadvisor.com/Attraction_Review-g33190-d2263403-Reviews-Trona_Pinnacles-Trona_California.html,trona.json
Kinetic Brewing Company,,"Beer was OK, but the burger with poutin on the side was awesome. Fried pickles had a bit too much breading. Homemade chips should be eaten plain for the best experience (IMHO).",15,9,(661) 942-BEER (2337),Lancaster,"735 W Lancaster Blvd , Lancaster , CA 93534-3118",,,https://www.tripadvisor.com/Attraction_Review-g32607-d3604719-Reviews-Kinetic_Brewing_Company-Lancaster_California.html,lancaster.json
Museum of Art & History (MOAH),,We were there for a private event. The view from the rooftop party space was fantastic. The catering was great and perfect for our cocktail party.,8,25,(661) 723-6250,Lancaster,"665 W Lancaster Blvd , Lancaster , CA 93534",-118.14181845,34.69819445,https://www.tripadvisor.com/Attraction_Review-g32607-d3604657-Reviews-Museum_of_Art_History_MOAH-Lancaster_California.html,lancaster.json
Lancaster Performing Arts Center,,The Antelope Valley may seem like a little hole in the wall town but we've got some very talented individuals here. At the Lancaster Performing Arts Center you can see locals... read more,6,30,+1 661-723-5950,Lancaster,"750 W Lancaster Blvd , Lancaster , CA 93534-3130",,,https://www.tripadvisor.com/Attraction_Review-g32607-d3604727-Reviews-Lancaster_Performing_Arts_Center-Lancaster_California.html,lancaster.json
Prime Desert Woodland Preserve,,first time i went didnt expect to feel like i did... even located in close range to houses it feels like your away from all the crazyness in life.... loves just being out there... read more,7,28,+1 661-723-6230,Lancaster,"43201 35th St W , Lancaster , CA 93536",-118.192386,34.6565653,https://www.tripadvisor.com/Attraction_Review-g32607-d3668336-Reviews-Prime_Desert_Woodland_Preserve-Lancaster_California.html,lancaster.json
Antelope Valley California Poppy Reserve,,"Great place to hike all year, no poppies right now but hopefully this spring. The park is open all day, and is easily accessible. The hiking trails start right at the parking... read more",4,104,+1 661-942-0662,Lancaster,"15101 Lancaster Rd , Lancaster , CA 93536-9733",,,https://www.tripadvisor.com/Attraction_Review-g32607-d143471-Reviews-Antelope_Valley_California_Poppy_Reserve-Lancaster_California.html,lancaster.json
The Kill Bill Church,,Incredible sight; helps that I'm a massive Tarantino fan. We were the only ones there except for one passer by in their car. Surrounded by a barrier but looks invisible in... read more,11,13,661-727-3794,Lancaster,"19809 E Avenue G , Lancaster , CA 93535-8826",,,https://www.tripadvisor.com/Attraction_Review-g32607-d7905544-Reviews-The_Kill_Bill_Church-Lancaster_California.html,lancaster.json
Searles Dry Lake,,Stop at the rest stop near the middle of town on the lake shore. The local historical society has wonderful display panels that explain all the mining that has been going on at... read more,2,11,,Trona,"Trona , CA",-117.3728345,35.7627322,https://www.tripadvisor.com/Attraction_Review-g33190-d144440-Reviews-Searles_Dry_Lake-Trona_California.html,trona.json
Antelope Valley Indian Museum,,This is a small Native American Museum (in the middle of nowhere but worth the trip) -- the artifacts are very interesting and they sell hand made Native American jewelry.,9,22,+1 661-946-3055,Lancaster,"15701 E Avenue M , Lancaster , CA 93535-7059",,,https://www.tripadvisor.com/Attraction_Review-g32607-d3668401-Reviews-Antelope_Valley_Indian_Museum-Lancaster_California.html,lancaster.json
Saddleback Butte State Park,,"We went to Saddleback Butte State Park in September. The state park was put in place to protect the butte, which is a granite mountaintop, and is 3,651 feet. We drove the... read more",12,17,,Lancaster,"170th Street East, Ave J , Lancaster , CA",,,https://www.tripadvisor.com/Attraction_Review-g32607-d2475835-Reviews-Saddleback_Butte_State_Park-Lancaster_California.html,lancaster.json
Charlie Brown Farms,,I never pass CB's with out stopping in... Deep fried you name it! Milk shake and fries you name it! This place is so fun and awesome for the kids. T%ons of old time nic nacs and... read more,1,11,(661) 944-2606,Littlerock,"8317 Pearblossom Hwy , Littlerock , CA 93543",-117.98194475,34.5211948333333,https://www.tripadvisor.com/Attraction_Review-g32633-d8260115-Reviews-Charlie_Brown_Farms-Littlerock_California.html,littlerock.json
John & Dennis Searles Wagon Routes Monument,"“ HISTORICAL MONUMENTS ” Reviewed 3 weeks ago These monuments commemorate John & Dennis Searles two Borax wagon routes. It is located at the intersection of California Highway 178 and Pinnacle road just west of Trona, Ca. This is the area where the 20 Mule team wagons hauled Borax to Mojave. The monuments are worth a brief stop to read and photograph and to look at the Trona... More Helpful? Thank SoCalOregonian Report",,3,,,Trona,,,,https://www.tripadvisor.com/Attraction_Review-g33190-d11700868-Reviews-John_Dennis_Searles_Wagon_Routes_Monument-Trona_California.html,trona.json
Devil's Punchbowl,,"This is an easy hike but requires lots of water, sunscreen, pair of great hiking shoes and a wide rim hat. There is not much shade here, must make it to Devils chair, it's we're... read more",1,37,,Pearblossom,"28000 Devils Punch Bowl Rd , Pearblossom , CA 93553-3440",,,https://www.tripadvisor.com/Attraction_Review-g32866-d2225667-Reviews-Devil_s_Punchbowl-Pearblossom_California.html,pearblossom.json
Grable's Slot Cars and Raceway,"“ Family Fun ” Reviewed May 23, 2016 This is a fun indoor activity. The raceway has two slot car tracks and a drag strip (1/24 scale electric). You can bring your own cars and controller, or they also have them available for sale or rental. The staff is friendly and helpful. It would be a good idea for a kids birthday party (ages 6+) but I would... More Helpful? 2 Thank CrankingChick Report",,13,,,Palmdale,,,,https://www.tripadvisor.com/Attraction_Review-g32848-d10330695-Reviews-Grable_s_Slot_Cars_and_Raceway-Palmdale_California.html,palmdale.json
DryTown Water Park,,"Definitely a good value of you pay attention for discounts. My kids enjoyed visiting this summer. There are two sets of water slides, a playground area, and a lazy river. They... read more",2,27,+1 661-267-6161,Palmdale,"3850 E. Ave. S. , Palmdale , CA 93552",-118.0281733,34.5580036,https://www.tripadvisor.com/Attraction_Review-g32848-d4172795-Reviews-DryTown_Water_Park-Palmdale_California.html,palmdale.json
Route 138 - Pearblossom Highway,,heading to palm springs this road makes for easy access to the I15. WHEN SWITHCHING TO THE i215 THEN TO THE 210 east bound makes for a quick trip,4,47,,Palmdale,"Palmdale , CA",-118.1171107,34.5793131,https://www.tripadvisor.com/Attraction_Review-g32848-d143472-Reviews-Route_138_Pearblossom_Highway-Palmdale_California.html,palmdale.json
Bridge To Nowhere,,"Been doing this hike for years now. There are quite a few stream crossings, so bring appropriate footwear. Insiders Tip: At the end of the hike leave the bridge and hike around... read more",1,28,,Azusa,"Azusa , CA",-117.9056045,34.1338751,https://www.tripadvisor.com/Attraction_Review-g29125-d1519659-Reviews-Bridge_To_Nowhere-Azusa_California.html,azusa.json
Cinemark Antelope Valley Mall,,"I'ts a nice movie theatre. Lines aren't too long, everybody is friendly. Even an option to pay by machine. I think there tickets cost enough, that they shouldn't over charge on... read more",3,15,(661) 274-4300,Palmdale,"1475 W Rancho Vista Blvd , Palmdale , CA 93551-3968",,,https://www.tripadvisor.com/Attraction_Review-g32848-d7391460-Reviews-Cinemark_Antelope_Valley_Mall-Palmdale_California.html,palmdale.json
Barrell Springs Trail,,Good way to see the flora and fauna of the High Desert area. Especially lovely in the Spring when the poppies bloom. Joggers and bikers welcome but nothing motorized. Quiet and... read more,12,4,,Palmdale,"25th St E and Barrel Springs Rd , Palmdale , CA",,,https://www.tripadvisor.com/Attraction_Review-g32848-d7184952-Reviews-Barrell_Springs_Trail-Palmdale_California.html,palmdale.json
Lamont Odett Vista Point,,"I pass this every day from work. I feel good when I see these lights at night, not only telling me am closer to home, but also making me feel like Christmas. I enjoy the lights... read more",8,4,,Palmdale,"14 Freeway North , Palmdale , CA",-118.1337733,34.5868896,https://www.tripadvisor.com/Attraction_Review-g32848-d7162367-Reviews-Lamont_Odett_Vista_Point-Palmdale_California.html,palmdale.json
Antique Asylum,,"Lotsa good to great stuff with reasonable prices. Timely sales, in participating vendor's spaces, helps to bring surprisingly lower prices throughout the year. Staff is helpful... read more",6,7,16612725665,Palmdale,"38712 6th St E , Palmdale , CA 93550-3720",,,https://www.tripadvisor.com/Attraction_Review-g32848-d8058806-Reviews-Antique_Asylum-Palmdale_California.html,palmdale.json
Glendora Mountain Road,,"Glendora Mountain Road, or GMR as the locals call it, is a great place to get away from the smog and heat of the valley, especially if you're on a motorcycle. If you know the... read more",1,26,,Glendora,"Glendora Ridge Road , Glendora , CA 91741",,,https://www.tripadvisor.com/Attraction_Review-g32432-d4842662-Reviews-Glendora_Mountain_Road-Glendora_California.html,glendora.json
Big Pines Zipline Tours,"Zipline & Aerial Adventure Parks , Tours , Outdoor Activities",I'll keep it simple. We had a great time. Our guides Timber and Andrew were awesome. Not only did they make us feel safe and confident but they were also very entertaining. These... read more,1,105,+1 760-249-9991,Wrightwood,"6047 Park Dr , Wrightwood , CA 92397",-117.633489230769,34.3602667692308,https://www.tripadvisor.com/Attraction_Review-g33294-d6748784-Reviews-Big_Pines_Zipline_Tours-Wrightwood_California.html,wrightwood.json
Mt Baldy Road,,If your looking for a quick mountain drive up and down this one is it. Just made this drive a few weeks ago. Just a Sunday drive. Mountain air at the top. Ski resort at the... read more,1,35,,Mount Baldy,"Mount Baldy , CA",-117.6600552,34.2361168,https://www.tripadvisor.com/Attraction_Review-g32750-d2547690-Reviews-Mt_Baldy_Road-Mount_Baldy_California.html,mount_baldy.json
Fish Canyon Trail,,This hike was my first solo hike. I am so happy I did it. I got there about the time they open the parking lot and there were already 8 cars ahead of me. The trail is very well... read more,5,2,,Azusa,"3901 Fish Canyon Road , Azusa , CA",-117.924593368511,34.1560599277951,https://www.tripadvisor.com/Attraction_Review-g29125-d10340478-Reviews-Fish_Canyon_Trail-Azusa_California.html,azusa.json
Bungee America,,The hike through the Angeles national forest is great. Be aware though that it is a 10mile round trip and there are a fair few steep ascents and descents as well as some river... read more,2,20,+1 310-322-8892,Azusa,"Azusa , CA 91702",-117.8875837,34.1304082,https://www.tripadvisor.com/Attraction_Review-g29125-d2310920-Reviews-Bungee_America-Azusa_California.html,azusa.json
Crystal Lake,,The drive up to Crystal Lake is half the fun of getting there. The other half is the piping hot bowl o chili and a burger at the lodge next to the lake open late spring until... read more,3,10,,Azusa,"San Gabriel River Trail , Azusa , CA",,,https://www.tripadvisor.com/Attraction_Review-g29125-d4359487-Reviews-Crystal_Lake-Azusa_California.html,azusa.json
Transplants Brewing Company,,"Transplants had the official Grand Opening January 23, 2016. This is such a fun place. Friends meet to play games and have fun while drinking a huge variety of amazing Craft... read more",9,3,16612667911,Palmdale,"40242 La Quinta Ln Ste 101 , Palmdale , CA 93551-3630",,,https://www.tripadvisor.com/Attraction_Review-g32848-d9811736-Reviews-Transplants_Brewing_Company-Palmdale_California.html,palmdale.json
Bread & Barley,,Went here for a late lunch with my husband and son.... Had the Cubano sand which and t was great! Also loved their brussels sprouts!! 👍🏽 Will definitely comeback and try the... read more,1,21,,Covina,"130 N Citrus Ave , Covina , CA 91723-2001",,,https://www.tripadvisor.com/Attraction_Review-g32260-d5841884-Reviews-Bread_Barley-Covina_California.html,covina.json
Forever Wild Exotic Animal Sanctuary,,It is off the beaten path. You have to take a dirt road to the sanctuary but it's totally worth it. Book the guided tour at least 24 hours in advance. We had Margaret as our tour... read more,1,23,+1 760-868-2755,Phelan,"8545 Buttemere Rd , Phelan , CA 92371-6906",,,https://www.tripadvisor.com/Attraction_Review-g32876-d4307777-Reviews-Forever_Wild_Exotic_Animal_Sanctuary-Phelan_California.html,phelan.json
Huy Fong Foods,,"This tour is a really good insight into the processing, bottling and storage of a very successful commercial food plant. Our tour guide was very professional and provided a high... read more",1,20,(626) 286-8328,Irwindale,"4800 Azusa Canyon Road , Irwindale , CA 91706",-117.942975,34.1004288,https://www.tripadvisor.com/Attraction_Review-g32531-d8702286-Reviews-Huy_Fong_Foods-Irwindale_California.html,irwindale.json
Santa Fe Dam Recreation Area,,Santa Fe Dam Recreation Area is a clean and well-maintained park. There are entrance fees but for seniors it is only US$5.00. We went on a Friday because the Renaissance Faire... read more,2,21,+1 626-334-1065,Irwindale,"15501 Arrow Hwy , Irwindale , CA 91706-2002",,,https://www.tripadvisor.com/Attraction_Review-g32531-d2365844-Reviews-Santa_Fe_Dam_Recreation_Area-Irwindale_California.html,irwindale.json
Massage Envy Spa Azusa,,Wonderful! Relaxing! On-time! Cares about their clients! Inviting atmosphere! Make your reservation right now!,4,2,626-969-5500,Azusa,"160 W Foothill Blvd , Azusa , CA 91702-2524",,,https://www.tripadvisor.com/Attraction_Review-g29125-d7940598-Reviews-Massage_Envy_Spa_Azusa-Azusa_California.html,azusa.json
Maloof Foundation for Arts & Crafts,,"Call it a museum, a historic landmark, a memorial, a sanctuary, whatever; all those standard labels would be appropriate to describe the Sam and Alfreda Maloof Foundation for Arts... read more",1,17,+1 909-980-0412,Alta Loma,"5131 Carnelian St , Alta Loma , CA 91701-1421",,,https://www.tripadvisor.com/Attraction_Review-g29084-d2292507-Reviews-Maloof_Foundation_for_Arts_Crafts-Alta_Loma_California.html,alta_loma.json
Ice House Canyon Trail,,We really enjoyed being out in the mountains near Baldy and the 3.5 Icehouse Trail was a nice challenging hike. Got our pass in the village then headed up - lots of loose rocks... read more,3,6,,Mount Baldy,"Mt. Baldy Road , Mount Baldy , CA",-117.6767592,34.2038067,https://www.tripadvisor.com/Attraction_Review-g32750-d8152613-Reviews-Ice_House_Canyon_Trail-Mount_Baldy_California.html,mount_baldy.json
Mt. Baldy Ski Area,,if you want to see some great view with least hike you can travel to this place and use Chair lift to reach the top. Once at the top you have options to hike to other places... read more,2,62,+1 909-982-0800,Mount Baldy,"8401 Mt Baldy Road , Mount Baldy , CA 91759",-117.661795,34.2337638,https://www.tripadvisor.com/Attraction_Review-g32750-d208320-Reviews-Mt_Baldy_Ski_Area-Mount_Baldy_California.html,mount_baldy.json
AzoVINO Gift Gallery & Wine,,Great place for a glass of wine and to listen to some good music. Music varies on nights but lots of fun listening to Sound Bytes,3,4,+1 626-732-9827,Covina,"144 W Badillo St , Covina , CA 91723-2015",,,https://www.tripadvisor.com/Attraction_Review-g32260-d5834598-Reviews-AzoVINO_Gift_Gallery_Wine-Covina_California.html,covina.json
The California Route 66 Museum,"Specialty Museums , Museums","This Museum is such a fantastic place, really takes you back in time. Especially if you've ever driven it. Will return with different guest and friends.",1,141,+1 760-951-0436,Victorville,"16825 S D St , Victorville , CA 92395-3207",,,https://www.tripadvisor.com/Attraction_Review-g33224-d2147908-Reviews-The_California_Route_66_Museum-Victorville_California.html,victorville.json
Irwindale Event Center,,"Formula D and L.A. Racing just to name a few occasions that have brought me here. Fun track, and great viewing. It looks like it doesn't really matter where you sit, you'll have a... read more",3,13,+1 626-358-1100,Irwindale,"500 Speedway Dr , Irwindale , CA 91706-1354",,,https://www.tripadvisor.com/Attraction_Review-g32531-d2287594-Reviews-Irwindale_Event_Center-Irwindale_California.html,irwindale.json
Mormon Rocks,,These rocks are to be found off west side of I-15/HWY138 in the Cajon Pass. The old Morman trail from SLC to LA passed by here. It is easily located. If you hike the trail TAKE... read more,2,5,,Phelan,"Highway 138, near Cajon Pass , Phelan , CA",,,https://www.tripadvisor.com/Attraction_Review-g32876-d4058137-Reviews-Mormon_Rocks-Phelan_California.html,phelan.json
Victoria Gardens,"Shopping Malls , Shopping","This is a great outdoor shopping venue. It has plenty of stores and lots of great places to eat, as well as an AMC movie theater. It is a great place to spend the day.",1,234,,Rancho Cucamonga,"12505 N Mainstreet , Rancho Cucamonga , CA 91739-8103",,,https://www.tripadvisor.com/Attraction_Review-g32940-d2432212-Reviews-Victoria_Gardens-Rancho_Cucamonga_California.html,rancho_cucamonga.json
Pacific Electric Trail,"Hiking Trails , Outdoor Activities , Nature & Parks","What I like about this trail is that it can be a great way to get your Biking, Running, Walking goals in. I started my trail in the city of Upland. I biked to Victoria Gardens... read more",3,49,,Rancho Cucamonga,"8500 Foothill Blvd. , Route 66 Trailhead , Rancho Cucamonga , CA 91730",,,https://www.tripadvisor.com/Attraction_Review-g32940-d5509702-Reviews-Pacific_Electric_Trail-Rancho_Cucamonga_California.html,rancho_cucamonga.json
